pair_id,data_row,source_row,similarity_n00,similarity_n01,similarity_n02,similarity_n03,similarity_n04,similarity_n05,similarity_n06,similarity_n07,similarity_n08,similarity_n09,similarity_n10,similarity_n11,similarity_n12,similarity_n13,similarity_n14,similarity_n15,similarity_n16,similarity_n17,similarity_n18,similarity_n19,similarity_n20,similarity_n21,similarity_n22,similarity_n23,similarity_n24,similarity_n25,similarity_n26,similarity_n27,similarity_n28,similarity_n29,similarity_n30
0,0,0,0.4792,0.52,0.5415,0.5557,0.567,0.5767,0.5854,0.593,0.5996,0.606,0.6113,0.616,0.621,0.6255,0.63,0.6333,0.6377,0.641,0.6445,0.6475,0.6504,0.6533,0.656,0.658,0.6606,0.6626,0.6646,0.6665,0.6685,0.67,0.672
1,2,1,0.4917,0.536,0.56,0.5757,0.5884,0.5986,0.6084,0.616,0.6235,0.63,0.6353,0.6406,0.6455,0.65,0.6543,0.6577,0.662,0.665,0.669,0.672,0.675,0.6777,0.68,0.682,0.6846,0.6865,0.6885,0.6904,0.6924,0.694,0.6953
2,21,2,0.5054,0.5444,0.565,0.578,0.589,0.598,0.606,0.613,0.619,0.6245,0.6294,0.634,0.638,0.642,0.646,0.649,0.653,0.6553,0.6587,0.661,0.6636,0.6665,0.6685,0.6704,0.673,0.6743,0.676,0.6777,0.6797,0.6807,0.682
3,172,3,0.569,0.5894,0.6035,0.6123,0.6196,0.6255,0.6304,0.635,0.639,0.643,0.6465,0.6494,0.6523,0.655,0.657,0.6587,0.6606,0.6626,0.6636,0.6655,0.667,0.6685,0.6694,0.671,0.6724,0.674,0.675,0.676,0.677,0.6772,0.6787
4,175,4,0.5703,0.6113,0.6357,0.6514,0.664,0.6743,0.6826,0.69,0.697,0.7026,0.7075,0.7124,0.7163,0.7207,0.724,0.7275,0.7305,0.733,0.7354,0.738,0.74,0.7427,0.7437,0.7456,0.747,0.749,0.7495,0.751,0.752,0.753,0.754
5,185,5,0.575,0.61,0.6284,0.639,0.6475,0.6543,0.6606,0.6665,0.672,0.6763,0.68,0.6846,0.6875,0.691,0.6934,0.6963,0.6987,0.701,0.703,0.705,0.707,0.7085,0.7104,0.712,0.7134,0.7144,0.716,0.717,0.7183,0.7188,0.72
6,211,7,0.5894,0.629,0.653,0.668,0.6807,0.69,0.6978,0.7046,0.711,0.717,0.721,0.726,0.73,0.734,0.738,0.7407,0.743,0.7456,0.748,0.7505,0.753,0.7554,0.7563,0.758,0.7593,0.761,0.7617,0.763,0.764,0.7646,0.766
7,247,10,0.608,0.644,0.663,0.6753,0.6846,0.6924,0.699,0.706,0.711,0.716,0.7207,0.7246,0.728,0.7314,0.7344,0.7373,0.74,0.7427,0.7446,0.7466,0.748,0.75,0.7515,0.753,0.7534,0.755,0.756,0.757,0.758,0.7583,0.759
8,289,13,0.6294,0.664,0.6826,0.696,0.706,0.7144,0.7217,0.7285,0.7334,0.739,0.7427,0.7466,0.7495,0.752,0.755,0.7573,0.7593,0.7607,0.7627,0.7646,0.7656,0.767,0.7676,0.7686,0.7695,0.77,0.771,0.7715,0.772,0.773,0.7734
9,334,17,0.6533,0.6836,0.695,0.7026,0.7095,0.715,0.7197,0.7246,0.7285,0.7324,0.7363,0.7397,0.743,0.7466,0.7495,0.7524,0.755,0.7573,0.7593,0.761,0.763,0.765,0.7666,0.768,0.7695,0.771,0.772,0.7734,0.7744,0.7754,0.7764
10,352,18,0.6626,0.6885,0.702,0.711,0.7183,0.7246,0.731,0.736,0.7407,0.7456,0.749,0.7524,0.7554,0.758,0.7607,0.763,0.7656,0.7676,0.7695,0.7715,0.773,0.7744,0.7764,0.778,0.7783,0.7793,0.781,0.7812,0.782,0.783,0.7837
11,390,21,0.6826,0.7075,0.723,0.732,0.7393,0.7456,0.751,0.756,0.7607,0.7646,0.7676,0.7705,0.7725,0.775,0.7764,0.7783,0.7803,0.7812,0.7827,0.7837,0.7847,0.785,0.786,0.7866,0.7866,0.7876,0.788,0.7886,0.7886,0.789,0.789
12,434,26,0.7046,0.7427,0.7603,0.7705,0.779,0.785,0.7905,0.795,0.7993,0.8022,0.805,0.8076,0.8096,0.8115,0.8125,0.814,0.815,0.8164,0.817,0.8174,0.8184,0.8184,0.8184,0.819,0.819,0.819,0.8193,0.8193,0.8193,0.819,0.819
13,467,29,0.722,0.7407,0.754,0.7656,0.776,0.7847,0.7925,0.7993,0.8066,0.8125,0.8174,0.822,0.825,0.829,0.831,0.833,0.8354,0.8364,0.8374,0.8384,0.839,0.8394,0.84,0.84,0.84,0.84,0.8394,0.839,0.839,0.8384,0.838
14,499,31,0.7393,0.7695,0.7817,0.7886,0.7944,0.799,0.8022,0.805,0.807,0.809,0.8105,0.812,0.8125,0.813,0.814,0.8145,0.8145,0.815,0.8154,0.8154,0.815,0.8154,0.8154,0.816,0.8154,0.8154,0.815,0.815,0.815,0.8145,0.8145
15,529,35,0.7544,0.77,0.778,0.782,0.7856,0.7886,0.7905,0.792,0.7935,0.7954,0.7964,0.7974,0.7983,0.7993,0.8003,0.8013,0.802,0.8022,0.8027,0.803,0.8037,0.804,0.804,0.8047,0.805,0.8057,0.8057,0.8057,0.806,0.806,0.8066
16,592,36,0.787,0.7993,0.8057,0.8096,0.813,0.8154,0.817,0.8184,0.82,0.8213,0.8223,0.8228,0.8237,0.824,0.825,0.825,0.8257,0.8267,0.826,0.8267,0.8267,0.827,0.8267,0.827,0.827,0.827,0.827,0.8267,0.827,0.8267,0.827
17,647,37,0.8154,0.8247,0.8286,0.8306,0.832,0.833,0.834,0.8345,0.835,0.836,0.8364,0.837,0.8374,0.838,0.8384,0.8384,0.839,0.8394,0.839,0.8394,0.8394,0.84,0.8394,0.8394,0.8394,0.8394,0.8394,0.839,0.8394,0.839,0.8394
18,667,38,0.826,0.837,0.841,0.843,0.8447,0.846,0.847,0.848,0.849,0.85,0.851,0.8516,0.852,0.8525,0.853,0.8535,0.8535,0.854,0.8535,0.854,0.854,0.8545,0.854,0.854,0.854,0.854,0.8535,0.853,0.8535,0.853,0.853
19,688,40,0.8374,0.8516,0.8555,0.856,0.8564,0.8564,0.8555,0.8545,0.8535,0.8525,0.852,0.8506,0.8496,0.8486,0.847,0.846,0.845,0.844,0.8433,0.842,0.8413,0.841,0.8403,0.8394,0.839,0.838,0.8374,0.8364,0.836,0.8354,0.8345
20,742,41,0.8657,0.878,0.882,0.883,0.8804,0.8784,0.874,0.87,0.865,0.861,0.8574,0.854,0.851,0.847,0.844,0.841,0.8384,0.8354,0.833,0.8306,0.8286,0.826,0.824,0.8223,0.82,0.818,0.816,0.8135,0.812,0.8105,0.809
21,744,42,0.8667,0.879,0.8823,0.8833,0.8833,0.883,0.8823,0.881,0.88,0.878,0.8765,0.8745,0.873,0.8716,0.8696,0.868,0.866,0.864,0.862,0.86,0.858,0.856,0.854,0.852,0.8506,0.8486,0.847,0.845,0.8433,0.842,0.84
22,874,43,0.892,0.905,0.9053,0.9033,0.902,0.9,0.8975,0.896,0.894,0.892,0.8896,0.887,0.8857,0.884,0.8813,0.88,0.8774,0.8755,0.873,0.871,0.869,0.867,0.8647,0.863,0.861,0.859,0.8574,0.8555,0.854,0.852,0.8506
23,954,44,0.9277,0.932,0.93,0.9263,0.922,0.9185,0.9136,0.91,0.9062,0.9023,0.8984,0.8945,0.891,0.887,0.884,0.8804,0.8774,0.874,0.8716,0.8687,0.8657,0.863,0.8604,0.858,0.8555,0.8535,0.851,0.849,0.8467,0.8447,0.843
24,669,39,0.827,0.8413,0.8477,0.8506,0.853,0.855,0.8564,0.858,0.8584,0.8594,0.86,0.8604,0.861,0.8613,0.8613,0.862,0.8623,0.862,0.862,0.8613,0.8613,0.862,0.8613,0.8613,0.861,0.8604,0.8604,0.86,0.8594,0.859,0.859
