pair_id,data_row,similarity_n00,similarity_n01,similarity_n02,similarity_n03,similarity_n04,similarity_n05,similarity_n06,similarity_n07,similarity_n08,similarity_n09,similarity_n10,similarity_n11,similarity_n12,similarity_n13,similarity_n14,similarity_n15,similarity_n16,similarity_n17,similarity_n18,similarity_n19,similarity_n20,similarity_n21,similarity_n22,similarity_n23,similarity_n24,similarity_n25,similarity_n26,similarity_n27,similarity_n28,similarity_n29,similarity_n30
0,23,0.508,0.513,0.5137,0.5146,0.516,0.5186,0.5215,0.523,0.526,0.528,0.5283,0.53,0.5303,0.5317,0.5327,0.5347,0.5366,0.538,0.5386,0.5396,0.5405,0.541,0.5425,0.5425,0.544,0.545,0.546,0.5464,0.5474,0.5483,0.5493
1,60,0.52,0.523,0.53,0.5366,0.5386,0.54,0.542,0.5435,0.5444,0.5454,0.546,0.546,0.5454,0.545,0.546,0.5474,0.5483,0.549,0.55,0.551,0.5522,0.553,0.553,0.5537,0.5547,0.555,0.5557,0.5566,0.5576,0.558,0.559
2,104,0.5337,0.548,0.552,0.56,0.5635,0.5654,0.5674,0.5693,0.5713,0.5723,0.5728,0.573,0.5728,0.5728,0.5737,0.575,0.576,0.5767,0.5776,0.5786,0.5806,0.5815,0.5815,0.582,0.583,0.584,0.5845,0.586,0.587,0.5874,0.5884
3,148,0.556,0.562,0.5703,0.5776,0.582,0.587,0.5894,0.5903,0.5923,0.593,0.5923,0.5923,0.5913,0.5913,0.5923,0.592,0.594,0.595,0.595,0.595,0.595,0.595,0.5947,0.5947,0.594,0.5947,0.5947,0.5947,0.594,0.594,0.5947
4,168,0.567,0.5703,0.57,0.5747,0.578,0.5825,0.5854,0.5864,0.589,0.5903,0.5894,0.5894,0.588,0.5884,0.5894,0.5903,0.593,0.593,0.5938,0.594,0.595,0.596,0.5967,0.597,0.597,0.597,0.598,0.598,0.5986,0.599,0.5986
5,213,0.5903,0.597,0.601,0.6025,0.604,0.6055,0.6055,0.606,0.606,0.6055,0.606,0.6064,0.606,0.6074,0.608,0.6094,0.6104,0.611,0.6113,0.612,0.613,0.613,0.6133,0.614,0.614,0.6143,0.6143,0.6147,0.615,0.615,0.6157
6,264,0.6167,0.6177,0.6177,0.626,0.631,0.633,0.633,0.633,0.6323,0.6313,0.6323,0.6323,0.632,0.632,0.6313,0.6323,0.634,0.6343,0.6353,0.6357,0.6367,0.637,0.637,0.637,0.6377,0.637,0.6367,0.637,0.6377,0.6377,0.6387
7,300,0.6353,0.6484,0.6543,0.6562,0.659,0.661,0.662,0.663,0.664,0.6646,0.6646,0.665,0.6655,0.6665,0.6675,0.668,0.6685,0.669,0.6694,0.6694,0.67,0.671,0.6714,0.6714,0.6724,0.673,0.6733,0.674,0.674,0.674,0.6743
8,352,0.6626,0.6714,0.676,0.679,0.6797,0.6797,0.6807,0.6807,0.6816,0.682,0.6826,0.683,0.6826,0.6836,0.6836,0.684,0.6865,0.6865,0.6875,0.688,0.6885,0.689,0.689,0.689,0.6895,0.69,0.691,0.6904,0.691,0.692,0.692
9,396,0.685,0.689,0.687,0.6855,0.685,0.684,0.6855,0.687,0.6885,0.6904,0.692,0.6934,0.695,0.6953,0.6963,0.6973,0.6978,0.699,0.7,0.701,0.702,0.7036,0.705,0.7056,0.706,0.707,0.708,0.7085,0.7095,0.7095,0.711
10,430,0.703,0.709,0.711,0.715,0.7188,0.7217,0.724,0.7256,0.727,0.728,0.7285,0.7295,0.7295,0.7295,0.73,0.7295,0.7305,0.731,0.731,0.731,0.7314,0.732,0.7324,0.732,0.7324,0.7324,0.733,0.7334,0.734,0.735,0.735
11,459,0.718,0.7134,0.7095,0.71,0.711,0.712,0.711,0.712,0.713,0.7134,0.7144,0.714,0.7153,0.7153,0.7163,0.7173,0.7173,0.718,0.718,0.7183,0.7188,0.7188,0.719,0.72,0.7197,0.7197,0.72,0.72,0.7207,0.721,0.721
12,508,0.7437,0.743,0.7534,0.7573,0.76,0.761,0.763,0.764,0.7646,0.764,0.7637,0.763,0.7637,0.764,0.763,0.7637,0.764,0.764,0.7637,0.764,0.764,0.764,0.7646,0.7646,0.764,0.764,0.7637,0.764,0.7646,0.7637,0.764
