split,group,filtered_row,data_row,baseline_similarity,sentence2_token_length,sentence1,sentence2
search_low,low,3,3,0.494140625,11,This answer is based on my experience teaching undergraduate math in the US.,There is no rope being climbed by a man
search_low,low,72,72,0.521484375,11,several different ways have been developed of calculating these values ( also known as term weights ) .,There is no rope being climbed by a man
search_low,low,108,108,0.53564453125,21,There is no man dressed in black wearing an elaborate black mask,the basic idea is to represent each document as a vector of certain weighted word frequencies .
search_low,low,140,140,0.55224609375,13,the man is feeding a mouse to the snake .,"A girl in water, with goggles and swimming cap."
search_low,low,181,181,0.5732421875,6,regulate or set the time of ( a clock ),There is no kitten drinking milk
search_low,low,240,241,0.6044921875,16,synthax _ terror 2 : : more than 800 nyc rape cases to be reviewed for forensic mistakes,The football is between the feet of a boy who is lying on the grass
search_low,low,249,250,0.60986328125,15,A baby elephant is not eating a small tree,djokovic : 3 aussie wins in a row
search_low,low,314,315,0.6435546875,16,obama calls for international front against is,A hiker is on top of the mountain and is doing a joyful dance
search_high,high,653,664,0.82470703125,8,car bombing kills 53 in damascus,2 traffic accidents leave 47 dead in china
search_high,high,690,701,0.84375,15,the black dog is running on the grass with a toy in it 's mouth .,A dog with long hair and a red vest is running in the grass
search_high,high,751,766,0.8720703125,9,bulb c and switch z are in the same closed path,because the switch was connected to the closed circuit
search_high,high,809,830,0.88427734375,13,A black dog is playing with a brown dog on the sand,two black dogs are playing in a grassy plain .
search_high,high,842,863,0.88916015625,9,a damaged bulb creates a gap in the path .,there is a gap in a circuit
search_high,high,882,904,0.90380859375,10,a woman is slicing up some meat .,A woman is slicing a tomato
search_high,high,922,945,0.92041015625,13,bulb b and c are on a closed path to the battery,bulb c and switch z are in the same closed path
search_high,high,967,991,0.9833984375,15,the amendment 7 proposes some modifications in the references to the paragraphs .,amendment no 7 proposes certain changes in the references to paragraphs .
validation_low,low,4,4,0.494873046875,6,"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no kitten drinking milk
validation_low,low,9,9,0.499267578125,25,There is no person riding a jetski in the waves,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems ."
validation_low,low,20,20,0.50537109375,9,There is no person riding a jetski in the waves,"commodity expanded value-form , ."
validation_low,low,25,25,0.50830078125,8,make fine adjustments or divide into marked intervals for optimal measuring .,There are no people driving ATVs
validation_low,low,32,32,0.51171875,13,No girl with a bikini is playing in the dunes,they also inherit the attributes and methods of its superclass .
validation_low,low,38,38,0.51416015625,6,This answer is based on my experience teaching undergraduate math in the US.,There is no kitten drinking milk
validation_low,low,44,44,0.51708984375,10,"after all , they have recommended policies that politicians or taking into consideration .",The boy isn't playing the piano happily
validation_low,low,58,58,0.5185546875,9,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",There is no brown dog standing in the water
validation_low,low,62,62,0.52001953125,14,one of the most well studied facets of temperament is how people respond to novelty .,No girl with a bikini is playing in the dunes
validation_low,low,68,68,0.5205078125,11,one of the most well studied facets of temperament is how people respond to novelty .,There is no rope being climbed by a man
validation_low,low,74,74,0.52197265625,9,"after all , they have recommended policies that politicians or taking into consideration .",There is no woman using a sewing machine
validation_low,low,80,80,0.5234375,22,A baby elephant is not eating a small tree,several different ways have been developed of calculating these values ( also known as term weights ) .
validation_low,low,89,89,0.525390625,13,No motorcycle racer is riding a red and black bike,it was first used in the smart information retrieval system .
validation_low,low,96,96,0.529296875,25,There is no rope being climbed by a man,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems ."
validation_low,low,103,103,0.533203125,12,This answer is based on my experience teaching undergraduate math in the US.,There is no man dressed in black wearing an elaborate black mask
validation_low,low,109,109,0.53564453125,16,it was first used in the smart information retrieval system .,ukraine will not give ' an inch ' over crimea
validation_low,low,115,115,0.5390625,8,"you just have to base your answer on what you do know , which is what you want .",There are no people driving ATVs
validation_low,low,125,125,0.54443359375,16,female film directors slowly gain ground,The football is between the feet of a boy who is lying on the grass
validation_low,low,135,135,0.54931640625,6,No motorcycle racer is riding a red and black bike,( cause to ) survive
validation_low,low,136,136,0.5498046875,13,There is no person riding a jetski in the waves,what more can i do to improve my credit score ?
validation_low,low,150,150,0.5576171875,11,it has the effect of augmenting the potency of the big countries to the detriment of babies .,a person is diving into clear blue water .
validation_low,low,156,156,0.560546875,16,Two white cats are playing with a brown dog and a ball,ukraine will not give ' an inch ' over crimea
validation_low,low,159,159,0.56201171875,11,A man is dancing on the ceiling,government initiatives to disarm have been ineffective .
validation_low,low,169,169,0.5673828125,16,The man is pouring some oil on the tomatoes,ukraine will not give ' an inch ' over crimea
validation_low,low,173,173,0.5693359375,7,"iran , atomic agency in first talks since rowhani election",A boy is eating a cupcake
validation_low,low,185,185,0.57568359375,41,There is no girl in pink twirling a ribbon,"the offer is also subject to goldman signing an agreement with drax 's senior banks , senior bond holders and hedging banks by sept . 30 , it said ."
validation_low,low,191,191,0.57861328125,7,A man in a car is not pulling up beside a woman who is walking along a road,ive watched kids play .
validation_low,low,196,196,0.58154296875,15,There is no dog jumping at a shiny blue soccer ball in a field of dry leaves,"but just as the european union itself , and this will happen ."
validation_low,low,201,201,0.583984375,14,ukraine will not give ' an inch ' over crimea,"ok , that 's a good point ."
validation_low,low,214,214,0.5908203125,11,A potato is being peeled by a woman,government initiatives to disarm have been ineffective .
validation_low,low,218,218,0.5927734375,23,A black dog is playing with a brown dog on the sand,about 31 percent of americans are now obese — roughly 30 or more pounds over a healthy weight .
validation_low,low,227,228,0.59814453125,16,make a certain size or sort according to size,A young child is running down a gravel road that is covered with dead leaves
validation_low,low,232,233,0.6005859375,19,the simple answer is yes !,"the international atomic energy agency has no access to people , documents , sites ."
validation_low,low,238,239,0.603515625,36,A snowboarder is grinding down a long rail,"it 's true that , under one understanding of "" accessibility "" and "" determining "" , your accessibility relation is determined by your axioms ."
