validation_rank,component_length,component_token_ids,trigger,source_restart,search_rank,objective,constraint_violation,feasible,core_feasible,structure_feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,high_state_retention,global_drop_rate,range_ratio,spearman,low_threshold,high_threshold,violation_low_coverage,violation_high_tail,violation_high_state,violation_drop_rate,structure_violation_range,structure_violation_rank,standalone_realized_length,standalone_realized_ids,context_realized_length_min,context_realized_length_max,sentinel_location_rate,realizability_rate,text_realizable,core_certified,structure_certified,search_seed_success_rate,rank,restart,pool_sequence
1,1,30332,lucrarea,-1,1,0.085907461643219,0.0,True,True,True,0.050842510163784,0.050842510163784,0.0368104159832,1.0,-0.0180590867996215,0.0049651647225404,1.0,0.0193236714975845,0.8627772604526203,0.9938618925831202,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,2,"3,30332",2,2,1.0,1.0,True,True,True,1.0,,,
1,2,"4632,30332",enedlucrarea,3,2,0.0905013447999954,0.0,True,True,True,0.0546484703818957,0.0546484703818957,0.0414856612682342,1.0,-0.0196863293647766,0.0043873313145759,1.0,0.0144927536231884,0.8569277476771147,0.9937888198757764,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,3,"3,4632,30332",3,3,1.0,1.0,True,True,True,1.0,2.0,3.0,"776,0"
1,4,"14324,30332,11500,908", suferlucrareaStr],2,6,0.0891249624888102,0.0,True,True,True,0.0555348957578341,0.0555348957578341,0.0408111989498138,0.9833333333333332,-0.0170580625534057,0.001801094183555,1.0,0.0144927536231884,0.8359291671854118,0.9919620021921812,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,4,"14324,30332,11500,908",4,4,1.0,1.0,True,True,True,1.0,6.0,2.0,"772,0,803,516"
1,6,"30332,13114,10647,12713,11870,2824",lucrarea->***surprisinglywerte....,1,5,0.089556677788496,0.0,True,True,True,0.0611662214001019,0.0611662214001019,0.0405059099197387,1.0,-0.018984642624855,-0.0031774617158449,1.0,0.0193236714975845,0.7880937549787461,0.9938618925831202,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,7,"3,30332,13114,10647,12713,11870,2824",7,7,1.0,1.0,True,True,True,0.75,5.0,1.0,"0,527,550,1140,1115,542"
1,8,"30332,257,12405,2044,2490,87,22,18",lucrareaation 6-о >/’-,2,12,0.0982854199409484,0.0,True,True,True,0.0662190174063046,0.0662190174063046,0.0492765963077545,1.0,-0.0198235273361206,-0.0038519043188828,1.0,0.0193236714975845,0.7946420021630473,0.9918158567774936,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,9,"3,30332,257,12405,2044,2490,87,22,18",9,9,1.0,1.0,True,True,True,0.5,12.0,2.0,"0,778,474,727,560,506,597,575"
1,10,"30332,5174,7184,1956,2490,15742,9,7372,3670,908",lucrarea‘н° >ónaès);],2,1,0.0800425044695536,0.0,True,True,True,0.0534270857771237,0.0534270857771237,0.0316689550876617,0.9833333333333332,-0.0158623456954956,-1.934323555383927e-05,1.0,0.0193236714975845,0.8447150433473036,0.9919985385458532,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,11,"3,30332,5174,7184,1956,2490,15742,9,7372,3670,908",11,11,1.0,1.0,True,True,True,0.25,1.0,2.0,"0,502,572,579,560,659,753,660,546,516"
1,12,"30332,5174,7184,1956,2490,15742,9,7372,3670,10,1727,908",lucrarea‘н° >ónaès);: seem],2,1,0.0793702951570352,0.0193459689617156,False,False,False,0.0534706200162569,0.0534706200162569,0.0320563077926635,0.9666666666666668,-0.0203869193792343,-0.0031758959476764,1.0,0.0241545893719806,0.8370640967482026,0.992400438436244,0.6292823553085327,0.8198487758636475,0.0,0.0193459689617156,0.0,0.0,0.0,0.0,13,"3,30332,5174,7184,1956,2490,15742,9,7372,3670,10,1727,908",13,13,1.0,1.0,True,False,False,0.0,1.0,2.0,"0,502,572,579,560,659,753,660,546,521,760,516"
1,14,"30332,5174,7184,13947,1956,2490,15742,9,7372,14012,3670,10,1727,908",lucrarea‘н reprezinta° >ónaès Lehr);: seem],2,1,0.0786789040764173,0.236605942249298,False,False,False,0.0605779772003491,0.0605779772003491,0.0315821766853332,0.9666666666666668,-0.0247321188449859,-0.0068466816193018,1.0,0.0483091787439613,0.8053933646381457,0.9913774205334308,0.6292823553085327,0.8198487758636475,0.0,0.236605942249298,0.0,0.0,0.0,0.0,15,"3,30332,5174,7184,13947,1956,2490,15742,9,7372,14012,3670,10,1727,908",15,15,1.0,1.0,True,False,False,0.0,1.0,2.0,"0,502,572,612,579,560,659,753,660,942,546,521,760,516"
1,16,"189,6302,20380,16463,17,5406,12137,30332,1935,76,20380,28863,4611,22665,1745,29511",thGA thru...).t2%therelucrarea*u thruFiindTHpictured unit/01/,0,1,0.0920573943853378,0.5128762474382557,False,False,False,0.0716190909345944,0.0716190909345944,0.0435074687004089,1.0,-0.0290014863014221,-0.0075323956134991,1.0,0.0531400966183574,0.7753879950194922,0.9859700401899892,0.6292823553085327,0.8198487758636475,0.0,0.4500743150711059,0.0,0.0628019323671497,0.0,0.0,17,"3,189,6302,20380,16463,17,5406,12137,30332,1935,76,20380,28863,4611,22665,1745,29511",17,17,1.0,1.0,True,False,False,0.0,1.0,0.0,"544,979,771,547,741,320,576,0,588,767,771,621,764,235,1197,549"
1,18,"30332,5174,7184,13947,1956,2490,1439,15742,9,7372,5806,14012,3670,10,1727,13679,20351,908","lucrarea‘н reprezinta° >âónaès involves Lehr);: seem],üchte]",2,2,0.0814732114473978,0.9720329489684908,False,False,False,0.0641333108146985,0.0641333108146985,0.0339259207248687,0.9833333333333332,-0.0323875188827514,-0.0091376633216173,1.0,0.0676328502415458,0.770318569277131,0.9894044574351482,0.6292823553085327,0.8198487758636475,0.0,0.6193759441375732,0.0,0.3526570048309177,0.0,0.0,19,"3,30332,5174,7184,13947,1956,2490,1439,15742,9,7372,5806,14012,3670,10,1727,13679,20351,908",19,19,1.0,1.0,True,False,False,0.0,2.0,2.0,"0,502,572,612,579,560,706,659,753,660,1169,942,546,521,760,524,668,516"
1,20,"784,30332,5174,29580,7184,13947,1956,2490,15742,9,7372,14012,7830,15431,29736,29045,3670,10,1727,908", [lucrarea‘ pertainн reprezinta° >ónaès Lehrulation beanmuddy6.7);: seem],2,1,0.080845583230257,1.4315117869688114,False,False,False,0.0697083577513694,0.0697083577513694,0.0350379645824432,0.95,-0.033847627043724,-0.0116249735538776,1.0,0.0869565217391304,0.756646664860212,0.9860431128973328,0.6292823553085327,0.8198487758636475,0.0,0.6923813521862028,0.0,0.7391304347826085,0.0,0.0,20,"784,30332,5174,29580,7184,13947,1956,2490,15742,9,7372,14012,7830,15431,29736,29045,3670,10,1727,908",20,20,1.0,1.0,True,False,False,0.0,1.0,2.0,"641,0,502,584,572,612,579,560,659,753,660,942,735,1044,233,826,546,521,760,516"
1,22,"17482,21126,15986,6917,17512,1757,31,5425,18457,10997,5290,31866,189,42,22416,15212,21574,18175,30412,20249,257,201"," (0 electron vague humansodatăе'oir varstaÎizatlibraryth orkenntnis Vom scade manipulationcuprinsețiiloration),",3,2,0.0441332629323005,1.6632393572641455,False,False,False,0.0346077049771944,0.0347362572948137,0.0084948718547821,0.75,-0.0372321784496307,-0.0134173318361624,0.9743589743589745,0.0869565217391304,0.858338101644974,0.9878699305809282,0.6292823553085327,0.8198487758636475,0.0625,0.861608922481537,0.0,0.7391304347826085,0.0,0.0,22,"17482,21126,15986,6917,17512,1757,31,5425,18457,10997,5290,31866,189,42,22416,15212,21574,18175,30412,20249,257,201",22,22,1.0,1.0,True,False,False,0.0,2.0,3.0,"721,997,436,317,758,649,523,638,733,554,736,1141,544,782,980,492,1080,1071,742,769,778,577"
