pool_index,token_id,literal,raw_vocab,category,component_ids,pool_source
0,30664, LGBTQ,▁LGBTQ,OK,"(30664,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
1,10434, marijuana,▁marijuana,OK,"(10434,)",prefix_blank+prefix_compact+prefix_separator+random_compact+random_separator+suffix_separator
2,29184, Minecraft,▁Minecraft,OK,"(29184,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
3,29657, Timisoara,▁Timisoara,OK,"(29657,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
4,26398, LGBT,▁LGBT,OK,"(26398,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
5,17541, autism,▁autism,OK,"(17541,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
6,31926, schizophrenia,▁schizophrenia,OK,"(31926,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
7,27777, Autism,▁Autism,OK,"(27777,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
8,23549, Diabetes,▁Diabetes,OK,"(23549,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
9,18116, Youtube,▁Youtube,OK,"(18116,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator
10,21681, racism,▁racism,OK,"(21681,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
11,10278, vegan,▁vegan,OK,"(10278,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
12,23713, racist,▁racist,OK,"(23713,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
13,13864, smartphones,▁smartphones,OK,"(13864,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
14,28671, breastfeeding,▁breastfeeding,OK,"(28671,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
15,8363, diabetes,▁diabetes,OK,"(8363,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
16,23138, Depression,▁Depression,OK,"(23138,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
17,5626, smartphone,▁smartphone,OK,"(5626,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
18,12557, București,▁București,OK,"(12557,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_separator
19,18719, obesity,▁obesity,OK,"(18719,)",prefix_compact+prefix_separator+random_separator+suffix_compact+suffix_separator
20,16458, Finland,▁Finland,OK,"(16458,)",prefix_separator+random_compact+random_separator+suffix_separator
21,7562, depression,▁depression,OK,"(7562,)",prefix_blank+prefix_compact+prefix_separator
22,29768, Disneyland,▁Disneyland,OK,"(29768,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
23,31330, homosexual,▁homosexual,OK,"(31330,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
24,29061, Pokemon,▁Pokemon,OK,"(29061,)",prefix_blank+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
25,28487, Latvia,▁Latvia,OK,"(28487,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_compact+suffix_separator
26,11076, potatoes,▁potatoes,OK,"(11076,)",prefix_compact+prefix_separator+random_separator+suffix_separator
27,30938, Băsescu,▁Băsescu,OK,"(30938,)",prefix_blank+prefix_separator+random_blank+random_separator+suffix_blank+suffix_separator
28,22623, Dragnea,▁Dragnea,OK,"(22623,)",prefix_blank+prefix_separator+random_blank+random_separator+suffix_blank+suffix_separator
29,7244, français,▁français,OK,"(7244,)",prefix_separator+random_separator+suffix_separator
30,7030, Toronto,▁Toronto,OK,"(7030,)",prefix_blank+prefix_separator+random_blank+random_compact+random_separator+suffix_separator
31,12743, Smartphone,▁Smartphone,OK,"(12743,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_compact+suffix_separator
32,26371, Vegan,▁Vegan,OK,"(26371,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_compact+suffix_separator
33,5343, YouTube,▁YouTube,OK,"(5343,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator
34,23315, Craiova,▁Craiova,OK,"(23315,)",prefix_blank+prefix_compact+prefix_separator+random_separator+suffix_blank+suffix_separator
35,6205, vegetables,▁vegetables,OK,"(6205,)",prefix_compact+prefix_separator+random_compact+random_separator+suffix_separator
36,3514, România,▁România,OK,"(3514,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_blank+suffix_separator
37,29606,cryptocurrencies,cryptocurrencies,OK,"(29606,)",prefix_blank+prefix_compact+prefix_separator+random_compact+random_separator
38,22640, Hitler,▁Hitler,OK,"(22640,)",prefix_blank+prefix_compact+prefix_separator+random_blank+random_compact+random_separator+suffix_compact+suffix_separator
39,5308, Italy,▁Italy,OK,"(5308,)",prefix_separator+random_separator+suffix_separator
40,12481, documentary,▁documentary,OK,"(12481,)",prefix_blank+prefix_compact+prefix_separator+random_blank+suffix_blank+suffix_compact+suffix_separator
