pool_index,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
0,30332,lucrarea,lucrarea,OK,"(30332,)",0.11077014654874802,0.0,True,0.060770146548748016,0.060770146548748016,0.04372560977935791,1.0,-0.010027098655700683,0.007927420238653818,0.0,0.8412904200877129,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
1,22665,pictured,pictured,OK,"(22665,)",0.06068707580367724,0.13582763194091735,False,0.027353742470343907,0.027353742470343907,0.009254515171051025,0.6666666666666666,-0.018745732307434083,-0.005985153218110402,0.020833333333333332,0.9078717518023426,0.976470588235294,0.08820858432186975,0.04761904761904761,0.0,0.0,0.0,0.0
2,26170,athlet,athlet,OK,"(26170,)",0.07105995913346608,0.18102029249781645,False,0.03772662580013275,0.03772662580013275,0.0162659227848053,0.6666666666666666,-0.022668024897575377,-0.009438589215278625,0.041666666666666664,0.8644868559962264,0.95,0.0,0.04761904761904761,0.13340124487876884,0.0,0.0,0.0
3,22526, martial,▁martial,OK,"(22526,)",0.05857754498720169,0.20195460130297935,False,0.02715564767519633,0.02732754498720169,0.010473579168319704,0.625,-0.019135454297065733,-0.006334024171034495,0.020833333333333332,0.8561442747840002,0.9588235294117649,0.09481174416012227,0.10714285714285708,0.0,0.0,0.0,0.0
4,1817, mis,▁mis,OK,"(1817,)",0.05711959600448609,0.2629942728413475,False,0.02711017181475957,0.027952929337819416,0.009155958890914917,0.5833333333333334,-0.018645128607749938,-0.009669723610083262,0.041666666666666664,0.8609608649731464,0.9705882352941176,0.09632760617468093,0.16666666666666657,0.0,0.0,0.0,0.0
5,2426, movement,▁movement,OK,"(2426,)",0.056042931973934174,0.29388764642533793,False,0.024397656321525574,0.024792931973934174,0.0039263129234313986,0.625,-0.016576170921325684,-0.0059354305267333984,0.0,0.8697413390722799,0.9735294117647059,0.18674478928248084,0.10714285714285708,0.0,0.0,0.0,0.0
6,21014, sportiv,▁sportiv,OK,"(21014,)",0.059273708363374075,0.2976520643347785,False,0.03219037503004074,0.03219037503004074,0.00855776071548462,0.5416666666666666,-0.021429231762886046,-0.009098120033740997,0.041666666666666664,0.8466952672292866,0.9411764705882352,0.0,0.2261904761904762,0.07146158814430227,0.0,0.0,0.0
7,6298, Image,▁Image,OK,"(6298,)",0.054787720739841464,0.3126315308941734,False,0.025621054073174793,0.025621054073174793,0.008769840002059937,0.5833333333333334,-0.018740352988243104,-0.00912752499183019,0.020833333333333332,0.8168473827119764,0.976470588235294,0.14596486422750685,0.16666666666666657,0.0,0.0,0.0,0.0
8,17682,Sport,Sport,OK,"(17682,)",0.05411357581615448,0.3152617585091363,False,0.02911357581615448,0.02911357581615448,0.006440728902816773,0.5,-0.019424307346343993,-0.008855936427911123,0.020833333333333332,0.8749036585475989,0.9647058823529412,0.02954747279485063,0.28571428571428564,0.0,0.0,0.0,0.0
9,3349, Sport,▁Sport,OK,"(3349,)",0.05393192072709402,0.32131692814448515,False,0.028931920727094013,0.028931920727094013,0.006522721052169801,0.5,-0.018934133648872375,-0.007649372021357219,0.020833333333333332,0.8749036585475989,0.9647058823529412,0.03560264243019952,0.28571428571428564,0.0,0.0,0.0,0.0
10,15854, realm,▁realm,OK,"(15854,)",0.05464359124501546,0.3273564823090083,False,0.02339359124501546,0.02339359124501546,0.008262544870376587,0.625,-0.013903522491455078,-0.008814300100008646,0.020833333333333332,0.8784008580940675,0.9911764705882352,0.22021362516615126,0.10714285714285708,0.0,0.0,0.0,0.0
11,9161, bro,▁bro,OK,"(9161,)",0.054591303070386246,0.3773797201731848,False,0.02334130307038625,0.02334130307038625,0.008273190259933474,0.625,-0.020965605974197388,-0.01029788206020991,0.041666666666666664,0.8870836109884022,0.9852941176470588,0.22195656432045832,0.10714285714285708,0.048280298709869364,0.0,0.0,0.0
12,12337, mobility,▁mobility,OK,"(12337,)",0.05162879228591919,0.4174136126798295,False,0.026269992192586262,0.02662879228591919,0.0041896581649780275,0.5,-0.02014731466770172,-0.010704606771469116,0.041666666666666664,0.8245157184866675,0.9588235294117649,0.12433359358045791,0.28571428571428564,0.007365733385085969,0.0,0.0,0.0
