rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,global_drop_rate,range_ratio,spearman,violation_low_gain,violation_low_coverage,violation_high_tail,violation_drop_rate,violation_range,violation_rank
1,"0,13,100,26,82","30332,28688,14338,15157,16771",lucrarea piston surroundings sporting posture,0.14029673039913176,0.0,True,0.09029673039913177,0.09029673039913177,0.06039024591445923,1.0,-0.01962292194366455,-0.004495369891325633,0.020833333333333332,0.7370379498677869,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
2,"0,129,100,26,82","30332,17,14338,15157,16771",lucrareat surroundings sporting posture,0.13985007802645366,0.0,True,0.08985007802645366,0.08985007802645366,0.05487797856330872,1.0,-0.019601312279701234,-0.005012092490990956,0.020833333333333332,0.7348951075562342,0.9676470588235294,0.0,0.0,0.0,0.0,0.0,0.0
3,"0,129,77,26,90","30332,17,6177,15157,23060",lucrareat tie sporting răspunde,0.1357944389184316,0.0,True,0.0857944389184316,0.0857944389184316,0.05703354477882385,1.0,-0.01972353458404541,-0.0035352781414985657,0.020833333333333332,0.7226301700866129,0.9588235294117649,0.0,0.0,0.0,0.0,0.0,0.0
4,"0,129,114,26,82","30332,17,21415,15157,16771",lucrareatRAL sporting posture,0.1355366090933482,0.0,True,0.08553660909334819,0.08553660909334819,0.05695081353187561,1.0,-0.018307724595069883,-0.0019106616576512654,0.020833333333333332,0.7588869755464649,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
5,"0,129,105,26,82","30332,17,10924,15157,16771",lucrareatissent sporting posture,0.13548503617445629,0.0,True,0.08548503617445628,0.08548503617445628,0.05593028664588928,1.0,-0.017806541919708253,-0.0027213245630264282,0.020833333333333332,0.7523806421549054,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
6,"0,41,100,26,169","30332,3852,14338,15157,680",lucrarea rep surroundings sporting sie,0.13525356153647106,0.0,True,0.08525356153647105,0.08525356153647105,0.05777214765548706,1.0,-0.01805943250656128,-0.001055978238582611,0.0,0.7551944107793436,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
7,"0,129,41,26,180","30332,17,3852,15157,31797",lucrareat rep sportingscrisă,0.1352230762441953,0.0,True,0.0852230762441953,0.0852230762441953,0.05654457211494446,1.0,-0.019532203674316406,-0.00040810803572336834,0.020833333333333332,0.7572872346543167,0.9794117647058824,0.0,0.0,0.0,0.0,0.0,0.0
8,"0,41,100,26,158","30332,3852,14338,15157,17319",lucrarea rep surroundings sportingenţă,0.13478816350301107,0.0,True,0.08478816350301106,0.08478816350301106,0.059130299091339114,1.0,-0.018702769279479982,-0.0015519460042317708,0.020833333333333332,0.7634692200975622,0.9735294117647059,0.0,0.0,0.0,0.0,0.0,0.0
9,"0,165,100,26,169","30332,13114,14338,15157,680",lucrarea-> surroundings sporting sie,0.1346246232589086,0.0,True,0.08462462325890859,0.08462462325890859,0.05398561954498291,1.0,-0.0197998970746994,-0.0019072368741035461,0.041666666666666664,0.7518348391224142,0.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0
10,"0,13,134,26,90","30332,28688,28448,15157,23060",lucrarea piston senzati sporting răspunde,0.1346120739976565,0.0,True,0.08461207399765651,0.08461207399765651,0.055217128992080686,1.0,-0.01869661211967468,-0.002346860865751902,0.020833333333333332,0.7579158614251564,0.9529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
