iteration,unique_population,feasible_population,best_feasible,best_constraint_violation,best_objective,distribution_entropy,best_sequence
0,128,0,False,0.5267526535760787,0.06456843713919322,5.1435625163919,"161,133,100,28,180"
1,128,0,False,0.10064432308787377,0.06415398369232814,4.731161367045936,"36,189,41,77,31"
2,128,4,True,0.0,0.11675594796737035,4.376670100814502,"0,200,8,134,184"
3,128,7,True,0.0,0.1192497839530309,4.009228703036425,"0,247,186,26,169"
4,128,11,True,0.0,0.12772679875294368,3.6110338783033527,"0,247,157,26,184"
5,128,15,True,0.0,0.12817646116018294,3.201594149421034,"0,136,151,26,169"
6,128,26,True,0.0,0.12817646116018294,2.944622009758723,"0,136,151,26,169"
7,128,36,True,0.0,0.12817646116018294,2.6949898555461567,"0,136,151,26,169"
8,128,54,True,0.0,0.12817646116018294,2.4978566439575207,"0,136,151,26,169"
9,124,52,True,0.0,0.13044773588577907,2.301109137945721,"0,13,8,215,169"
10,127,66,True,0.0,0.13368410915136336,2.1189996139359053,"0,133,157,26,82"
11,127,56,True,0.0,0.13368410915136336,1.9661124389594327,"0,133,157,26,82"
12,126,69,True,0.0,0.1337869793176651,1.8237312831803467,"0,13,35,26,158"
13,118,57,True,0.0,0.1337869793176651,1.716561169980028,"0,13,35,26,158"
14,117,55,True,0.0,0.1357944389184316,1.623514017177354,"0,129,77,26,90"
15,113,53,True,0.0,0.1357944389184316,1.564362747974755,"0,129,77,26,90"
16,111,49,True,0.0,0.1357944389184316,1.4633017703605566,"0,129,77,26,90"
17,103,45,True,0.0,0.14029673039913176,1.3864994767500858,"0,13,100,26,82"
18,92,41,True,0.0,0.14029673039913176,1.3202069779918564,"0,13,100,26,82"
19,90,32,True,0.0,0.14029673039913176,1.269687737058562,"0,13,100,26,82"
20,84,35,True,0.0,0.14029673039913176,1.2189715720655587,"0,13,100,26,82"
21,75,34,True,0.0,0.14029673039913176,1.1862728208160565,"0,13,100,26,82"
22,79,39,True,0.0,0.14029673039913176,1.1810445213698706,"0,13,100,26,82"
23,71,29,True,0.0,0.14029673039913176,1.1322977238056093,"0,13,100,26,82"
24,79,35,True,0.0,0.14029673039913176,1.1106405011167229,"0,13,100,26,82"
25,78,28,True,0.0,0.14029673039913176,1.0730890104383917,"0,13,100,26,82"
26,68,30,True,0.0,0.14029673039913176,1.0759805597045708,"0,13,100,26,82"
27,72,29,True,0.0,0.14029673039913176,1.055783958759259,"0,13,100,26,82"
28,61,33,True,0.0,0.14029673039913176,1.056404500609148,"0,13,100,26,82"
29,70,27,True,0.0,0.14029673039913176,1.0347251359998058,"0,13,100,26,82"
