validation_rank,component_length,component_token_ids,trigger,source_restart,search_rank,objective,constraint_violation,feasible,core_feasible,structure_feasible,low_gain_mean,low_positive_gain,low_gain_q10,low_coverage,high_gain_q05,high_gain_mean,high_state_retention,global_drop_rate,range_ratio,spearman,low_threshold,high_threshold,violation_low_coverage,violation_high_tail,violation_high_state,violation_drop_rate,structure_violation_range,structure_violation_rank,standalone_realized_length,standalone_realized_ids,context_realized_length_min,context_realized_length_max,sentinel_location_rate,realizability_rate,text_realizable,core_certified,structure_certified,search_seed_success_rate,rank,restart,pool_sequence
1,1,30332,lucrarea,-1,1,0.085907461643219,0.0,True,True,True,0.05084251016378403,0.05084251016378403,0.036810415983200076,1.0,-0.018059086799621583,0.00496516472254044,1.0,0.01932367149758454,0.8627772604526203,0.9938618925831202,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,2,"3,30332",2,2,1.0,1.0,True,True,True,1.0,,,
1,2,"30332,634",lucrareaThe,2,8,0.09006266444921494,0.0,True,True,True,0.054071472585201265,0.054071472585201265,0.04077261686325073,1.0,-0.014199048280715942,0.004493807370846088,1.0,0.004830917874396135,0.8278077571506366,0.9941541834124955,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,3,"3,30332,634",3,3,1.0,1.0,True,True,True,1.0,8.0,2.0,"0,700"
1,4,"30332,30332,13602,15425",lucrarealucrareaffen=>,2,5,0.10231128260493279,0.0,True,True,True,0.07388734171787897,0.07388734171787897,0.05327160954475403,1.0,-0.019206538796424866,0.005101265051426032,1.0,0.01932367149758454,0.7834589353369961,0.9930215564486666,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,5,"3,30332,30332,13602,15425",5,5,1.0,1.0,True,True,True,0.75,5.0,2.0,"0,0,657,503"
1,6,"30332,18,17132,132,6031,18",lucrarea-itty theretting-,0,3,0.08868066370487213,0.0,True,True,True,0.05373834123214086,0.05373834123214086,0.039381366968154904,1.0,-0.014014065265655518,0.0017619690833947598,1.0,0.00966183574879227,0.8361455893474281,0.9942272561198394,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,7,"3,30332,18,17132,132,6031,18",7,7,1.0,1.0,True,True,True,1.0,3.0,0.0,"0,575,671,603,698,575"
1,8,"30332,10646,135,24985,11018,94,25526,458",lucrareatial themtechnischstanding It„ ‘,1,1,0.08645633220672608,0.0,True,True,True,0.06187301526467005,0.06187301526467005,0.03745548129081726,1.0,-0.01998298168182373,-0.0028807887664208044,1.0,0.01932367149758454,0.7804718258762283,0.9920350748995251,0.6292823553085327,0.8198487758636475,0.0,0.0,0.0,0.0,0.0,0.0,9,"3,30332,10646,135,24985,11018,94,25526,458",9,9,1.0,1.0,True,True,True,0.5,1.0,1.0,"0,685,654,1023,938,796,570,512"
1,10,"30332,11903,189,13947,12641,2824,290,9,22345,7085",lucrareaanumiteth reprezintaemis.... Thereaumblingits,1,1,0.08736984819173814,0.014964878559112563,False,False,False,0.06136845201253891,0.06136845201253891,0.038384813070297244,1.0,-0.02029929757118225,-0.0009087293575971555,1.0,0.024154589371980676,0.8174044664559812,0.9911216660577276,0.6292823553085327,0.8198487758636475,0.0,0.014964878559112563,0.0,0.0,0.0,0.0,11,"3,30332,11903,189,13947,12641,2824,290,9,22345,7085",11,11,1.0,1.0,True,False,False,0.0,1.0,1.0,"0,684,544,612,715,542,590,753,1007,624"
1,12,"9175,6302,4275,30332,2795,5406,634,184,20380,13679,22665,121","|GA].lucrareaи2%The& thru],pictured""",0,1,0.09394187077879906,0.23449817299842826,False,False,False,0.06571337232987086,0.06571337232987086,0.04517636895179748,1.0,-0.024689963459968566,-0.00327685398933215,1.0,0.028985507246376812,0.8073647235399465,0.9931311655096824,0.6292823553085327,0.8198487758636475,0.0,0.23449817299842826,0.0,0.0,0.0,0.0,12,"1820,6302,4275,30332,2795,5406,634,184,20380,13679,22665,121",12,12,1.0,0.0,False,False,False,0.0,1.0,0.0,"535,979,555,0,704,320,700,564,771,524,235,513"
1,14,"9175,6302,4275,30332,2795,5406,634,184,20380,13679,22665,24294,6302,121","|GA].lucrareaи2%The& thru],pictured1:00GA""",0,2,0.10136445462703705,0.5148396244371569,False,False,False,0.07221049616734186,0.07221049616734186,0.05281649231910705,1.0,-0.029040753841400146,-0.006898346619728284,1.0,0.05314009661835749,0.7777492247146716,0.99020825721593,0.6292823553085327,0.8198487758636475,0.0,0.45203769207000727,0.0,0.0628019323671497,0.0,0.0,14,"1820,6302,4275,30332,2795,5406,634,184,20380,13679,22665,24294,6302,121",14,14,1.0,0.0,False,False,False,0.0,2.0,0.0,"535,979,555,0,704,320,700,564,771,524,235,148,979,513"
1,16,"9175,6302,4275,30332,2795,5406,12137,634,1935,184,20380,13679,4611,22665,1745,121","|GA].lucrareaи2%thereThe*& thru],THpictured unit""",0,1,0.08736666455864907,0.8305674873400423,False,False,False,0.07360293318827947,0.07360293318827947,0.039037811756134036,1.0,-0.0334229439496994,-0.0077040753303430016,1.0,0.057971014492753624,0.7667933579779393,0.9856412130069419,0.6292823553085327,0.8198487758636475,0.0,0.6711471974849699,0.0,0.15942028985507242,0.0,0.0,16,"1820,6302,4275,30332,2795,5406,12137,634,1935,184,20380,13679,4611,22665,1745,121",16,16,1.0,0.0,False,False,False,0.0,1.0,0.0,"535,979,555,0,704,320,576,700,588,564,771,524,764,235,1197,513"
1,18,"9175,6302,4275,30332,2795,5406,12137,634,1935,184,16708,20380,13679,4611,22665,1745,26292,121","|GA].lucrareaи2%thereThe*& dismiss thru],THpictured unit menschliche""",0,1,0.10620228037238122,1.4584869386781243,False,False,False,0.08164112120866776,0.08164112120866776,0.05801825523376465,1.0,-0.036319497227668765,-0.01035574231392298,1.0,0.0821256038647343,0.7288315289747302,0.9873949579831934,0.6292823553085327,0.8198487758636475,0.0,0.8159748613834382,0.0,0.642512077294686,0.0,0.0,18,"1820,6302,4275,30332,2795,5406,12137,634,1935,184,16708,20380,13679,4611,22665,1745,26292,121",18,18,1.0,0.0,False,False,False,0.0,1.0,0.0,"535,979,555,0,704,320,576,700,588,564,341,771,524,764,235,1197,401,513"
1,20,"9175,6302,1303,4275,30332,2795,5406,12137,634,1935,184,16708,20380,13679,4611,22665,1745,4819,26292,121","|GA://].lucrareaи2%thereThe*& dismiss thru],THpictured unit!) menschliche""",0,1,0.1060885913670063,1.4227053763497854,False,False,False,0.08258636941512426,0.08258636941512426,0.0578687846660614,1.0,-0.03560386598110199,-0.011615176231433183,1.0,0.0821256038647343,0.7490370681937425,0.989769820971867,0.6292823553085327,0.8198487758636475,0.0,0.7801932990550995,0.0,0.642512077294686,0.0,0.0,20,"1820,6302,1303,4275,30332,2795,5406,12137,634,1935,184,16708,20380,13679,4611,22665,1745,4819,26292,121",20,20,1.0,0.0,False,False,False,0.0,1.0,0.0,"535,979,507,555,0,704,320,576,700,588,564,341,771,524,764,235,1197,637,401,513"
1,22,"19117,189,9175,6302,4275,30332,2795,1141,5406,30721,12137,30721,634,184,13020,1433,20380,13679,22665,13602,1745,121","viousth|GA].lucrareaи”.2%wrongfultherewrongfulThe& decembrieence thru],picturedffen unit""",0,1,0.09802638232707978,3.9515069734647073,False,False,False,0.08273986925681433,0.08273986925681433,0.050306391716003415,1.0,-0.0456001877784729,-0.019660032712496243,1.0,0.18357487922705315,0.699660861463148,0.9872122762148339,0.6292823553085327,0.8198487758636475,0.0,1.2800093889236448,0.0,2.6714975845410627,0.00048448362407424054,0.0,23,"3,19117,189,9175,6302,4275,30332,2795,1141,5406,30721,12137,30721,634,184,13020,1433,20380,13679,22665,13602,1745,121",23,23,1.0,1.0,True,False,False,0.0,1.0,0.0,"644,544,535,979,555,0,704,563,320,321,576,321,700,564,840,702,771,524,235,657,1197,513"
