source_row,split,sentence1,sentence2,similarity,sentence1_original,sentence1_id,sentence1_token_length,sentence1_tokens_removed,sentence2_original,sentence2_id,sentence2_token_length,sentence2_tokens_removed,baseline_similarity
0,search,There is no person riding a jetski in the waves,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0.47928232,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",8c057f7f49d181495afff086841017e624eb2ddbf1aa8f2a671d517ff10cf590,41,0,0.47928232
3,validation,This answer is based on my experience teaching undergraduate math in the US.,There is no rope being climbed by a man,0.49399203,This answer is based on my experience teaching undergraduate math in the US.,02eefe7a2ab0de5b40d5eea17184f3a4d1d0eafd8cbdc50674898a463274b370,15,0,There is no rope being climbed by a man,7b42a7aed836477c8cdb6ba8bb2a1df062eb3108fe2c05916516d736502edccf,11,0,0.49399197
6,validation,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",There is no kitten drinking milk,0.498367,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",fbddaa7ecee16fca36c7a9b1dc1653774ac15cc970574fcf049cc228adb01b99,25,0,There is no kitten drinking milk,5865f289ba8d06c9d93bcb24770c728d6c31468edeb469f5a2855d42d3735796,6,0,0.49836716
10,search,There is no person riding a jetski in the waves,several different ways have been developed of calculating these values ( also known as term weights ) .,0.49935955,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,0.49935943
12,search,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",No girl with a bikini is playing in the dunes,0.50196177,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",ef976f2b7592e20ca34992114bb94a8dc3a83ba33a9f51d17d2616fd196a4954,20,0,No girl with a bikini is playing in the dunes,5fa6710a1fb4b77c3c342deb98f5eb18b52dd8379f8e8c9f9eb7d5df0e76d9f0,14,0,0.50196195
13,search,"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no person riding a jetski in the waves,0.5022279,"several different ways of computing these values , also known as ( term ) weights , have been developed .",0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,25,0,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,0.50222796
18,search,several different ways have been developed of calculating these values ( also known as term weights ) .,No girl with a bikini is playing in the dunes,0.5047697,several different ways have been developed of calculating these values ( also known as term weights ) .,4ec73d04c1c0d875165006e7a1d842923d28d2e0d1580dd88bfb55c54faff0a4,22,0,No girl with a bikini is playing in the dunes,5fa6710a1fb4b77c3c342deb98f5eb18b52dd8379f8e8c9f9eb7d5df0e76d9f0,14,0,0.50476974
19,search,( parliament adopted the legislative resolution ),There is no person riding a jetski in the waves,0.50519836,( parliament adopted the legislative resolution ),c2504ec3995a953fd2cbc4d0125676c077b7cb359c66f386b0da79ed36ad788f,8,0,There is no person riding a jetski in the waves,a7c92dfa7f11bc59da0ad58ab47f78c6d952574f80020e1c65064edec4f63e51,12,0,0.50519824
21,search,No girl with a bikini is playing in the dunes,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0.5054116,No girl with a bikini is playing in the dunes,5fa6710a1fb4b77c3c342deb98f5eb18b52dd8379f8e8c9f9eb7d5df0e76d9f0,14,0,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",8c057f7f49d181495afff086841017e624eb2ddbf1aa8f2a671d517ff10cf590,41,0,0.5054117
23,search,"several different ways of computing these values , also known as ( term ) weights , have been developed .",No girl with a bikini is playing in the dunes,0.50763375,"several different ways of computing these values , also known as ( term ) weights , have been developed .",0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,25,0,No girl with a bikini is playing in the dunes,5fa6710a1fb4b77c3c342deb98f5eb18b52dd8379f8e8c9f9eb7d5df0e76d9f0,14,0,0.5076336
