rank,pool_sequence,component_token_ids,trigger,objective,constraint_violation,feasible,low_gain_mean,low_gain_q10,high_gain_q05,high_gain_mean,displacement_q05,displacement_q05_mean_modes,compactness_loss,compact_radius_q95,triggered_pairwise_similarity,center_norm,local_uniqueness_lower_bound,violation_repulsion,violation_compact_radius,violation_high_tail,violation_low_gain,violation_local_uniqueness
1,"0,240,195,229,16","30332,16145,12743,3147,20538",lucrarea earthquake Smartphone 300 trage,0.22149223510017113,2.992513010067265,False,0.2846576332622296,0.25399951094804074,0.0023859020258270303,0.06737711295146573,0.37724962103563864,0.3835390374329714,0.12633079632411692,0.41709988123698394,0.8695940166976858,0.9347027354597198,-0.0398502602013453,0.0,0.0,0.0,0.0,2.992513010067265
2,"0,240,195,214,16","30332,16145,12743,13525,20538",lucrarea earthquake Smartphoneără trage,0.23242761004989532,3.053307450032238,False,0.29190257691223837,0.25496213532678724,0.002352875377658492,0.06906037406088607,0.37280953636936254,0.37754521658846096,0.1189499337246861,0.4138756853700073,0.8772129716390337,0.9386426723068336,-0.04106614900064476,0.0,0.0,0.0,0.0,3.053307450032238
3,"0,240,195,16,214","30332,16145,12743,20538,13525",lucrarea earthquake Smartphone trageără,0.23797434069180418,3.106171240625507,False,0.2971485142097003,0.26070981698631046,0.0024132519740379943,0.06987000307443665,0.37016198672094297,0.38218619390032726,0.11834834703579222,0.4122854115334531,0.8778339643501499,0.938963073269768,-0.042123424812510135,0.0,0.0,0.0,0.0,3.106171240625507
4,"110,240,173,214,195","24243,16145,19845,13525,12743", événements earthquakeAiciără Smartphone,0.20743634384423365,3.219464818003189,False,0.2769939178155428,0.2262998738928541,0.002010100867556075,0.059565908355812984,0.392930341667991,0.4062653819828579,0.13911514794261826,0.4373196380280548,0.8563972666398779,0.927838807152073,-0.04438929636006378,0.0,0.0,0.0,0.0,3.219464818003189
5,"251,240,195,16,240","694,16145,12743,20538,16145", fun earthquake Smartphone trage earthquake,0.19860743962899663,3.2595361308297455,False,0.27044748509818817,0.22356672110714224,0.0022656291132848562,0.062128331509733764,0.3959697501176771,0.41255592179604106,0.14368009093838308,0.441160472734272,0.8516850674184433,0.925375550283028,-0.0451907226165949,0.0,0.0,0.0,0.0,3.2595361308297455
6,"251,240,195,214,240","694,16145,12743,13525,16145", fun earthquake Smartphoneără earthquake,0.20671002486248835,3.4392111539228742,False,0.27489486604676894,0.23786653378538786,0.0022264506869423273,0.06458612903860585,0.38693012451791337,0.40239128494287973,0.13636968236856117,0.43571434759637084,0.8592312956195498,0.9293171243614522,-0.04878422307845748,0.0,0.0,0.0,0.0,3.4392111539228742
7,"0,44,195,214,240","30332,15843,12743,13525,16145",lucrarea shaft Smartphoneără earthquake,0.2186336578889146,3.4926254917747057,False,0.28317398228858126,0.24627178951917889,0.0023781372173980854,0.06682740050827664,0.3730394547732453,0.3797417211563716,0.12908064879933334,0.4228919646087394,0.866755459303914,0.9332305991557857,-0.04985250983549411,0.0,0.0,0.0,0.0,3.4926254917747057
8,"0,240,195,229,214","30332,16145,12743,3147,13525",lucrarea earthquake Smartphone 300ără,0.23197468606292665,3.542230299988621,False,0.2914015360767697,0.25755092023118664,0.002541029660000077,0.06868388455326457,0.36836435002932655,0.3763941828541582,0.11885370002768614,0.41920895602909897,0.8773123096488401,0.9386939330646139,-0.05084460599977242,0.0,0.0,0.0,0.0,3.542230299988621
9,"0,44,195,16,240","30332,15843,12743,20538,16145",lucrarea shaft Smartphone trage earthquake,0.20903590792900922,3.5716454483536766,False,0.2756745591475607,0.24461850355311932,0.0022899232214839303,0.06479696336681252,0.3823931637538349,0.3880289330177547,0.133277302437103,0.43382607272090845,0.8624234297423453,0.930979429183533,-0.05143290896707353,0.0,0.0,0.0,0.0,3.5716454483536766
10,"0,44,195,214,16","30332,15843,12743,13525,20538",lucrarea shaft Smartphoneără trage,0.20319010946485438,3.704180105816567,False,0.2717197055629384,0.23436324463749786,0.0022262233403376685,0.06445867935584426,0.37333328089782236,0.3787698815294154,0.13705919219616802,0.4274168830141537,0.8585195435394395,0.9289460736791086,-0.05408360211633134,0.0,0.0,0.0,0.0,3.704180105816567
11,"0,205,195,214,240","30332,24903,12743,13525,16145",lucrarea dispus Smartphoneără earthquake,0.2107679899155001,3.7059365050961737,False,0.2767943297051882,0.25194799294531717,0.0022524351665325513,0.06661821420114088,0.38149062763754293,0.38347689892691267,0.13205267957937616,0.4356093577394664,0.8636875565632246,0.9316369037455654,-0.05411873010192347,0.0,0.0,0.0,0.0,3.7059365050961737
12,"236,240,195,214,16","24742,16145,12743,13525,20538",estival earthquake Smartphoneără trage,0.20973084674087572,3.719059504089602,False,0.2773120559606074,0.22581180799313935,0.00206284482269033,0.060439777922420966,0.3904313722031855,0.4014532806565528,0.1351624184394633,0.44481256228497756,0.8604775035463604,0.9299664410937293,-0.05438119008179204,0.0,0.0,0.0,0.0,3.719059504089602
13,"236,240,195,214,44","24742,16145,12743,13525,15843",estival earthquake Smartphoneără shaft,0.20680809501737957,3.735869088874518,False,0.2758360303702778,0.22329254586400418,0.0020827279406834486,0.06326505571971898,0.3924529233661276,0.40567895581281793,0.1380558707057965,0.44717030514361794,0.8574907141101455,0.9284094620878244,-0.05471738177749036,0.0,0.0,0.0,0.0,3.735869088874518
14,"0,240,195,214,44","30332,16145,12743,13525,15843",lucrarea earthquake Smartphoneără shaft,0.22402552662879316,3.7632651669158292,False,0.2848997794403558,0.25350008456227335,0.0023826849726252264,0.06701061362729639,0.3633803110553301,0.36777729266578146,0.12174850562312534,0.41864561439364667,0.8743241232277416,0.9371507319406386,-0.055265303338316585,0.0,0.0,0.0,0.0,3.7632651669158292
15,"0,240,58,229,16","30332,16145,28310,3147,20538",lucrarea earthquake Illustration 300 trage,0.21124423663545877,3.810396739281168,False,0.2764712957737543,0.24143176850954481,0.0022976605337365562,0.06345546998128958,0.36956902272668735,0.37136802520699647,0.13045411827659104,0.4257769575123107,0.865337684359648,0.9324944405857919,-0.05620793478562336,0.0,0.0,0.0,0.0,3.810396739281168
16,"0,240,195,214,0","30332,16145,12743,13525,30332",lucrarea earthquake Smartphoneărălucrarea,0.25160122335482493,3.8646273433088707,False,0.3037074054851918,0.27194327308615196,0.002476029904259891,0.07402512610918036,0.3450740253899312,0.35404785322028287,0.10421236426073377,0.4020850879926761,0.8924259465695651,0.9464605832993079,-0.05701106260274491,0.014074213171625067,0.0,0.0,0.0,3.8505531301372455
17,"236,240,195,229,16","24742,16145,12743,3147,20538",estival earthquake Smartphone 300 trage,0.20796315021419504,3.9136926577899986,False,0.2764777699065784,0.21513161741970438,0.0021622023154763584,0.06203968725530904,0.39740719441023076,0.40861060110426045,0.13702923938476674,0.45543930086109324,0.8585504625705633,0.928962195471502,-0.058032106450862486,0.0,0.012087335246873849,0.0,0.0,3.9016053225431246
18,"236,240,195,84,16","24742,16145,12743,24023,20538",estival earthquake Smartphone LORD trage,0.1956825266707894,3.9763365811181943,False,0.2675899649722944,0.22428078082943165,0.0021394183125825806,0.060723418526227695,0.3904590904607664,0.3993599843754576,0.14381487660301007,0.44998582208313026,0.8515459338291509,0.9253027198690112,-0.05952673162236388,0.0,0.0,0.0,0.0,3.9763365811181943
19,"236,240,195,16,240","24742,16145,12743,20538,16145",estival earthquake Smartphone trage earthquake,0.19042743109710297,3.9813254437161785,False,0.2628943939435739,0.22348022372889484,0.002143227653034957,0.061937419366822594,0.39068428129855226,0.4027460534979286,0.14493392569294183,0.45029756505913643,0.8503907863814794,0.9246978286483959,-0.05961328376058417,0.0,0.0006612556869698169,0.0,0.0,3.9806641880292086
20,"110,240,58,214,195","24243,16145,28310,13525,12743", événements earthquake Illustrationără Smartphone,0.19972081946153858,4.046547226589377,False,0.2718383724133098,0.23264284597064983,0.001697797611015889,0.062019730602803226,0.3767761647587179,0.398881122253077,0.1442351059035425,0.43770710929050544,0.8511121487447303,0.9250756153398799,-0.060930944531787545,0.0,0.0,0.0,0.0,4.046547226589377
21,"236,240,195,214,64","24742,16145,12743,13525,30828",estival earthquake SmartphoneărăDOWN,0.19803834515391378,4.048088176534558,False,0.2706079557441909,0.2276233791740424,0.002110569514079086,0.0603695784250613,0.3930455434359072,0.4003339229117388,0.14513922118055422,0.45383678326589205,0.8501788684587828,0.9245868151879767,-0.060791239829984856,0.0,0.008526185035315647,0.0,0.0,4.039561991499243
22,"236,240,195,214,240","24742,16145,12743,13525,16145",estival earthquake Smartphoneără earthquake,0.20240109024133335,4.108291095966487,False,0.2718870657481188,0.2357015299432359,0.002078783498482656,0.0637032138454386,0.3839420415874415,0.3977021979704512,0.13897195101357085,0.44610786350677123,0.8565450828247011,0.9279159708650504,-0.06216582191932973,0.0,0.0,0.0,0.0,4.108291095966487
23,"100,240,195,214,240","14338,16145,12743,13525,16145", surroundings earthquake Smartphoneără earthquake,0.19025261599339588,4.155684784117735,False,0.2632091429820124,0.22935947080266894,0.0019000530871562283,0.05940712261953699,0.37672502214585674,0.3853894018300739,0.1459130539772331,0.43983871782821143,0.8493800733138239,0.9241682455174312,-0.0631136956823547,0.0,0.0,0.0,0.0,4.155684784117735
24,"251,240,195,214,16","694,16145,12743,13525,20538", fun earthquake Smartphoneără trage,0.20501811094305478,4.164892648068357,False,0.27514632297463937,0.22692556278876327,0.0020729129427769556,0.06225431350138199,0.3762658732925042,0.3972397351620917,0.14025642406316918,0.43956372625387136,0.8552191751605995,0.9272235846530387,-0.06329785296136714,0.0,0.0,0.0,0.0,4.164892648068357
25,"0,240,18,214,195","30332,16145,12487,13525,12743",lucrarea earthquake adjacentără Smartphone,0.22764939627792108,4.167358184003133,False,0.28879444299868934,0.261754162403113,0.0024139331577367586,0.06931211879592603,0.3651796228963874,0.3672505802046431,0.12229009344153652,0.42852678657645005,0.873765064834543,0.9368617328925669,-0.06334716368006266,0.0,0.0,0.0,0.0,4.167358184003133
26,"100,240,195,214,16","14338,16145,12743,13525,20538", surroundings earthquake Smartphoneără trage,0.20256701126235255,4.192600709663468,False,0.2732700058357105,0.23290773492006855,0.001896819398181665,0.06099250657587137,0.37289997075801357,0.3873013372357084,0.14140598914671587,0.4367519849512829,0.8540325273324223,0.9266034809201205,-0.06385201419326936,0.0,0.0,0.0,0.0,4.192600709663468
27,"206,240,195,214,16","17140,16145,12743,13525,20538",liga earthquake Smartphoneără trage,0.18988273410182888,4.202386861680254,False,0.26340460611333383,0.21662026554041927,0.001853763763871358,0.058727891700361634,0.38367444967679454,0.39670238787811946,0.1470437440230099,0.4477221869103996,0.8482129093956027,0.9235563090450901,-0.06404773723360507,0.0,0.0,0.0,0.0,4.202386861680254
28,"0,205,195,229,16","30332,24903,12743,3147,20538",lucrarea dispus Smartphone 300 trage,0.1986331662909136,4.2049310239677835,False,0.2681926393135416,0.2373748845291826,0.002197544832423448,0.06490410854988495,0.3680678863890674,0.36993661332662553,0.139118946045256,0.43216650686842306,0.8563933460178003,0.9278367604027898,-0.06409862047935566,0.0,0.0,0.0,0.0,4.2049310239677835
