pool_index,rank,token_id,literal,raw_vocab,category,component_ids,objective,constraint_violation,feasible,core_feasible,absolute_escape_q05,relative_outward_q05,escape_rate,compact_radius_q95,triggered_pairwise_mean,triggered_pairwise_q05,all_cluster_clearance_q05,blank_region_cluster_feasible,violation_absolute_escape,violation_relative_outward,violation_escape_coverage,violation_compact_radius,per_mode_metrics_json,pool_source
0,2,22009, Nobody,▁Nobody,OK,"(22009,)",-0.7706505849288612,9.62013181485156,False,False,-0.1130078325284828,-0.0162044685219977,0.421875,0.6414382838783805,0.7111574604963001,0.6398915985632223,-0.1167387036150925,False,6.650391626424142,1.810223426099888,0.5559210526315789,0.6035957096959512,"[{""absolute_escape_q05"": -0.11300783252848284, ""relative_outward_q05"": 0.0029857353348975366, ""escape_rate"": 0.5546875, ""compact_radius_q95"": 0.6414382838783805, ""triggered_pairwise_mean"": 0.7163606033922364, ""triggered_pairwise_q05"": 0.6398915985632223, ""all_cluster_clearance_q05"": -0.11300783252848284, ""center_norm_pre_normalization"": 0.8476889385500646}, {""absolute_escape_q05"": -0.10844450684119215, ""relative_outward_q05"": -0.016204468521997754, ""escape_rate"": 0.421875, ""compact_radius_q95"": 0.5978106837072085, ""triggered_pairwise_mean"": 0.73125493014838, ""triggered_pairwise_q05"": 0.6665976969401557, ""all_cluster_clearance_q05"": -0.10844450684119215, ""center_norm_pre_normalization"": 0.8563611979708435}, {""absolute_escape_q05"": -0.11300783252848284, ""relative_outward_q05"": -0.015990834492124736, ""escape_rate"": 0.421875, ""compact_radius_q95"": 0.6302342853638867, ""triggered_pairwise_mean"": 0.7111574604963001, ""triggered_pairwise_q05"": 0.6442243574501844, ""all_cluster_clearance_q05"": -0.1167387036150925, ""center_norm_pre_normalization"": 0.8446384097886085}]",escape+pareto
1,1,28218, NEVER,▁NEVER,OK,"(28218,)",-0.7469670199840988,9.27039025565313,False,False,-0.1179638984704732,-0.0058244465801248,0.453125,0.6231786749335007,0.7193766647807903,0.6500669222042739,-0.1179638984704732,False,6.89819492352366,1.291222329006243,0.5230263157894737,0.5579466873337515,"[{""absolute_escape_q05"": -0.11492530077679564, ""relative_outward_q05"": -0.0025560798853252313, ""escape_rate"": 0.46875, ""compact_radius_q95"": 0.611706068479379, ""triggered_pairwise_mean"": 0.7340181965993428, ""triggered_pairwise_q05"": 0.6696806651188003, ""all_cluster_clearance_q05"": -0.11492530077679564, ""center_norm_pre_normalization"": 0.8579604768528918}, {""absolute_escape_q05"": -0.11593863084329112, ""relative_outward_q05"": -0.005824446580124857, ""escape_rate"": 0.5078125, ""compact_radius_q95"": 0.5902885042576287, ""triggered_pairwise_mean"": 0.74311239317652, ""triggered_pairwise_q05"": 0.6803415421386751, ""all_cluster_clearance_q05"": -0.11593863084329112, ""center_norm_pre_normalization"": 0.8632029471549115}, {""absolute_escape_q05"": -0.1179638984704732, ""relative_outward_q05"": -0.0005954255388161851, ""escape_rate"": 0.453125, ""compact_radius_q95"": 0.6231786749335007, ""triggered_pairwise_mean"": 0.7193766647807903, ""triggered_pairwise_q05"": 0.6500669222042739, ""all_cluster_clearance_q05"": -0.1179638984704732, ""center_norm_pre_normalization"": 0.8494521969754216}]",escape+pareto
2,3,470, never,▁never,OK,"(470,)",-0.7605055448563002,9.742116706642898,False,False,-0.1228702029170616,-0.0082322392386622,0.3671875,0.6294031027005763,0.7112688617617006,0.6445567095353079,-0.1228702029170616,False,7.14351014585308,1.411611961933113,0.6134868421052632,0.5735077567514407,"[{""absolute_escape_q05"": -0.1228702029170616, ""relative_outward_q05"": 0.0015582831647674407, ""escape_rate"": 0.4296875, ""compact_radius_q95"": 0.6294031027005763, ""triggered_pairwise_mean"": 0.7218243570583571, ""triggered_pairwise_q05"": 0.6493708905900604, ""all_cluster_clearance_q05"": -0.1228702029170616, ""center_norm_pre_normalization"": 0.8508804878783796}, {""absolute_escape_q05"": -0.11714855948515886, ""relative_outward_q05"": -0.0008496593718220439, ""escape_rate"": 0.53125, ""compact_radius_q95"": 0.6009587157149412, ""triggered_pairwise_mean"": 0.7312892085683418, ""triggered_pairwise_q05"": 0.6640392902478313, ""all_cluster_clearance_q05"": -0.11714855948515886, ""center_norm_pre_normalization"": 0.8563810553911401}, {""absolute_escape_q05"": -0.1215126484301226, ""relative_outward_q05"": -0.008232239238662252, ""escape_rate"": 0.3671875, ""compact_radius_q95"": 0.6248951270147166, ""triggered_pairwise_mean"": 0.7112688617617006, ""triggered_pairwise_q05"": 0.6445567095353079, ""all_cluster_clearance_q05"": -0.1215126484301226, ""center_norm_pre_normalization"": 0.8447038381200175}]",escape
3,11,12638, nobody,▁nobody,OK,"(12638,)",-0.7794637592629913,10.57738601124041,False,False,-0.1246884783612875,-0.0236933007507077,0.3984375,0.631081980150996,0.7077475735591456,0.6394674820205511,-0.1246884783612875,False,7.234423918064377,2.184665037535386,0.5805921052631579,0.57770495037749,"[{""absolute_escape_q05"": -0.10659659949594666, ""relative_outward_q05"": 0.0004405201075225301, ""escape_rate"": 0.53125, ""compact_radius_q95"": 0.6202716066330413, ""triggered_pairwise_mean"": 0.7177095317743238, ""triggered_pairwise_q05"": 0.6465065481716233, ""all_cluster_clearance_q05"": -0.1068941438759963, ""center_norm_pre_normalization"": 0.8484780058591077}, {""absolute_escape_q05"": -0.12468847836128753, ""relative_outward_q05"": -0.023693300750707722, ""escape_rate"": 0.3984375, ""compact_radius_q95"": 0.6014040339729708, ""triggered_pairwise_mean"": 0.7269483323738372, ""triggered_pairwise_q05"": 0.6624564491904984, ""all_cluster_clearance_q05"": -0.12468847836128753, ""center_norm_pre_normalization"": 0.8538627225079548}, {""absolute_escape_q05"": -0.12206929846818079, ""relative_outward_q05"": -0.01013859766468939, ""escape_rate"": 0.4140625, ""compact_radius_q95"": 0.631081980150996, ""triggered_pairwise_mean"": 0.7077475735591456, ""triggered_pairwise_q05"": 0.6394674820205511, ""all_cluster_clearance_q05"": -0.12376893721219782, ""center_norm_pre_normalization"": 0.842633251169669}]",escape
4,4,14575,cheapest,cheapest,OK,"(14575,)",-0.7511796329284722,10.24270995366743,False,False,-0.1256187990241159,-0.0107999894031181,0.109375,0.6147608445012381,0.735740856327148,0.6668363188725364,-0.1256187990241159,False,7.280939951205795,1.539999470155908,0.8848684210526315,0.5369021112530953,"[{""absolute_escape_q05"": -0.11912481012073554, ""relative_outward_q05"": -0.010799989403118155, ""escape_rate"": 0.109375, ""compact_radius_q95"": 0.5725997003678781, ""triggered_pairwise_mean"": 0.7549384158712951, ""triggered_pairwise_q05"": 0.6970199493976835, ""all_cluster_clearance_q05"": -0.11912481012073554, ""center_norm_pre_normalization"": 0.8699729650310744}, {""absolute_escape_q05"": -0.12293931335157991, ""relative_outward_q05"": -0.006142264902306376, ""escape_rate"": 0.171875, ""compact_radius_q95"": 0.5815769569371471, ""triggered_pairwise_mean"": 0.7501613886737757, ""triggered_pairwise_q05"": 0.6865293262830141, ""all_cluster_clearance_q05"": -0.12293931335157991, ""center_norm_pre_normalization"": 0.867244632816437}, {""absolute_escape_q05"": -0.1256187990241159, ""relative_outward_q05"": -0.00851469604006821, ""escape_rate"": 0.15625, ""compact_radius_q95"": 0.6147608445012381, ""triggered_pairwise_mean"": 0.735740856327148, ""triggered_pairwise_q05"": 0.6668363188725364, ""all_cluster_clearance_q05"": -0.1256187990241159, ""center_norm_pre_normalization"": 0.8589559832922664}]",escape+pareto
5,17,29713, Arduino,▁Arduino,OK,"(29713,)",-0.7730600097839132,10.68471019661235,False,False,-0.1264569355303396,-0.0186349129692711,0.1328125,0.6279681612843023,0.7344854673752262,0.6537937973555631,-0.1264569355303396,False,7.322846776516983,1.9317456484635585,0.8601973684210527,0.5699204032107558,"[{""absolute_escape_q05"": -0.12645693553033968, ""relative_outward_q05"": -0.015566737651238909, ""escape_rate"": 0.1328125, ""compact_radius_q95"": 0.6013901898186474, ""triggered_pairwise_mean"": 0.7415972946596416, ""triggered_pairwise_q05"": 0.6634703176153983, ""all_cluster_clearance_q05"": -0.12645693553033968, ""center_norm_pre_normalization"": 0.86233176106739}, {""absolute_escape_q05"": -0.12316281850188983, ""relative_outward_q05"": -0.01863491296927117, ""escape_rate"": 0.140625, ""compact_radius_q95"": 0.5825240186963072, ""triggered_pairwise_mean"": 0.7637692189207531, ""triggered_pairwise_q05"": 0.6973767876381068, ""all_cluster_clearance_q05"": -0.12316281850188983, ""center_norm_pre_normalization"": 0.874994155547248}, {""absolute_escape_q05"": -0.1256738473034932, ""relative_outward_q05"": -0.01530366450462932, ""escape_rate"": 0.140625, ""compact_radius_q95"": 0.6279681612843023, ""triggered_pairwise_mean"": 0.7344854673752262, ""triggered_pairwise_q05"": 0.6537937973555631, ""all_cluster_clearance_q05"": -0.1256738473034932, ""center_norm_pre_normalization"": 0.8582306217001973}]",escape
6,37,13938, inexpensive,▁inexpensive,OK,"(13938,)",-0.7516568168766006,10.794807392450744,False,False,-0.1271222683029362,-0.0205482487662334,0.09375,0.6039862998074309,0.7312269448838469,0.6614183875013342,-0.1271222683029362,False,7.35611341514681,2.0274124383116714,0.9013157894736842,0.5099657495185772,"[{""absolute_escape_q05"": -0.12712226830293621, ""relative_outward_q05"": -0.012377228143650998, ""escape_rate"": 0.09375, ""compact_radius_q95"": 0.5894458805361571, ""triggered_pairwise_mean"": 0.7419968230124044, ""triggered_pairwise_q05"": 0.6808829706913782, ""all_cluster_clearance_q05"": -0.12712226830293621, ""center_norm_pre_normalization"": 0.862561576522776}, {""absolute_escape_q05"": -0.11533563395912233, ""relative_outward_q05"": -0.0082491839193505, ""escape_rate"": 0.09375, ""compact_radius_q95"": 0.5719089176838547, ""triggered_pairwise_mean"": 0.7528188040380087, ""triggered_pairwise_q05"": 0.6871303802605679, ""all_cluster_clearance_q05"": -0.11533563395912233, ""center_norm_pre_normalization"": 0.8687634358884528}, {""absolute_escape_q05"": -0.12333263887489332, ""relative_outward_q05"": -0.02054824876623343, ""escape_rate"": 0.109375, ""compact_radius_q95"": 0.6039862998074309, ""triggered_pairwise_mean"": 0.7312269448838469, ""triggered_pairwise_q05"": 0.6614183875013342, ""all_cluster_clearance_q05"": -0.12333263887489332, ""center_norm_pre_normalization"": 0.8563449858843927}]",compact+escape+pareto
7,6,1327, nothing,▁nothing,OK,"(1327,)",-0.780922882354909,10.466924810002263,False,False,-0.1280110295382324,-0.0148521111578172,0.2578125,0.6380597416588593,0.710485538399848,0.636607560045517,-0.1280110295382324,False,7.400551476911622,1.7426055578908626,0.7286184210526315,0.5951493541471481,"[{""absolute_escape_q05"": -0.12136247499028695, ""relative_outward_q05"": -0.008305969281493169, ""escape_rate"": 0.3125, ""compact_radius_q95"": 0.6106754924722931, ""triggered_pairwise_mean"": 0.720488203899288, ""triggered_pairwise_q05"": 0.6567973733721229, ""all_cluster_clearance_q05"": -0.12136247499028695, ""center_norm_pre_normalization"": 0.8501011058295791}, {""absolute_escape_q05"": -0.1255550763286416, ""relative_outward_q05"": -0.014852111157817252, ""escape_rate"": 0.3359375, ""compact_radius_q95"": 0.6047298264708729, ""triggered_pairwise_mean"": 0.7316487783847008, ""triggered_pairwise_q05"": 0.666943877520849, ""all_cluster_clearance_q05"": -0.1255550763286416, ""center_norm_pre_normalization"": 0.8565893254999815}, {""absolute_escape_q05"": -0.12801102953823246, ""relative_outward_q05"": -0.00948885260451186, ""escape_rate"": 0.2578125, ""compact_radius_q95"": 0.6380597416588593, ""triggered_pairwise_mean"": 0.710485538399848, ""triggered_pairwise_q05"": 0.636607560045517, ""all_cluster_clearance_q05"": -0.12801102953823246, ""center_norm_pre_normalization"": 0.8442436677224158}]",escape
8,5,2349, 100%,▁100%,OK,"(2349,)",-0.7632428326975247,10.420915421451118,False,False,-0.1282464924769107,-0.011808475339642,0.1328125,0.623187864880972,0.7131106952936209,0.6470583570537086,-0.1282464924769107,False,7.412324623845534,1.5904237669821006,0.8601973684210527,0.5579696622024299,"[{""absolute_escape_q05"": -0.12705450695054132, ""relative_outward_q05"": -0.0025646072135524552, ""escape_rate"": 0.1484375, ""compact_radius_q95"": 0.623187864880972, ""triggered_pairwise_mean"": 0.7135827487471541, ""triggered_pairwise_q05"": 0.6470677800105723, ""all_cluster_clearance_q05"": -0.12705450695054132, ""center_norm_pre_normalization"": 0.8460616903613551}, {""absolute_escape_q05"": -0.12066764745715268, ""relative_outward_q05"": -0.004126155854067187, ""escape_rate"": 0.171875, ""compact_radius_q95"": 0.6212989379327161, ""triggered_pairwise_mean"": 0.7173399646749199, ""triggered_pairwise_q05"": 0.6486342622291698, ""all_cluster_clearance_q05"": -0.12259374151430084, ""center_norm_pre_normalization"": 0.8482618973902315}, {""absolute_escape_q05"": -0.1282464924769107, ""relative_outward_q05"": -0.011808475339642013, ""escape_rate"": 0.1328125, ""compact_radius_q95"": 0.6218800474858307, ""triggered_pairwise_mean"": 0.7131106952936209, ""triggered_pairwise_q05"": 0.6470583570537086, ""all_cluster_clearance_q05"": -0.1282464924769107, ""center_norm_pre_normalization"": 0.8457848534643241}]",escape
9,12,13293, farming,▁farming,OK,"(13293,)",-0.776226438105392,10.5892100859771,False,False,-0.1297999541563533,-0.0122490606065926,0.09375,0.634177423342446,0.7251736863536141,0.6524384358508563,-0.1297999541563533,False,7.489997707817668,1.612453030329632,0.9013157894736842,0.5854435583561148,"[{""absolute_escape_q05"": -0.12935388419032903, ""relative_outward_q05"": -0.00835879833244133, ""escape_rate"": 0.109375, ""compact_radius_q95"": 0.5858623196413822, ""triggered_pairwise_mean"": 0.7449462017539306, ""triggered_pairwise_q05"": 0.6792967635205519, ""all_cluster_clearance_q05"": -0.12935388419032903, ""center_norm_pre_normalization"": 0.8642562177650454}, {""absolute_escape_q05"": -0.12955600613315446, ""relative_outward_q05"": -0.012249060606592638, ""escape_rate"": 0.09375, ""compact_radius_q95"": 0.5990318806527909, ""triggered_pairwise_mean"": 0.7430813043182453, ""triggered_pairwise_q05"": 0.6731936708819736, ""all_cluster_clearance_q05"": -0.12955600613315446, ""center_norm_pre_normalization"": 0.8631850798347441}, {""absolute_escape_q05"": -0.12979995415635337, ""relative_outward_q05"": -0.011383018425052687, ""escape_rate"": 0.1015625, ""compact_radius_q95"": 0.634177423342446, ""triggered_pairwise_mean"": 0.7251736863536141, ""triggered_pairwise_q05"": 0.6524384358508563, ""all_cluster_clearance_q05"": -0.12979995415635337, ""center_norm_pre_normalization"": 0.8528310309357164}]",escape
