sentence_id,text,normalized_original,source_row_first_seen,source_cluster,source_cluster_distance
00c169af5b1c7d043d01f1f816236558810cd666dc040ad84c693a658023521a,it has the effect of augmenting the potency of the big countries to the detriment of babies .,it has the effect of augmenting the potency of the big countries to the detriment of babies .,374,2,0.61227816
03575350b821f30ac63476046c1d0e55f9eafd5a9f10c9270b675a959bdffa05,more deaths expected in canada oil train explosion,more deaths expected in canada oil train explosion,645,4,0.46811056
0388ebac91f655e458fafff6a4974ecae2399362df179b9b5b2fcce8dba52220,A man is getting into a car,A man is getting into a car,448,0,0.5786913
04213ed15da91a7124a4da9c5b2a814f006b5b7e68c430fa568319bc1882f553,your top 10 flu questions answered,your top 10 flu questions answered,117,2,0.6014281
043d1949fef95bafbdedaca5c70cdb979b2bc036e02f933321e9d2e213b7b29b,The woman is putting makeup on the man,The woman is putting makeup on the man,559,0,0.55903506
04ffdaa937255932ba92b733ce09ec73db358c9dc0f2dd6ada6e133aaeed495a,young redheaded man holding two bicycles near beach .,young redheaded man holding two bicycles near beach .,392,0,0.58251566
05ef0b9bf726b2c4dd346e7eb171f7a0e8606e3dce30acb32384237465b274f2,palestinian prisoners arrive at muqata in ramallah,palestinian prisoners arrive at muqata in ramallah,428,2,0.56309915
0790e08ad2f5c8ee7c1183f6d19d859314d1859715fcd931bd1be7b06dcf2ed2,"that said , i would caution against the attempted use of proof by anecdote here to prove the effectiveness and validity of the concealed carry laws .","that said , i would caution against the attempted use of proof by anecdote here to prove the effectiveness and validity of the concealed carry laws .",390,1,0.5843785
07d32f20d2386930b1d8c3fccabaf093094f22edc55c45c32495bea5967ccb6b,syria envoy calls for national unity government,syria envoy calls for national unity government,459,2,0.5073788
084b6efb1a2b06104c70a6855c4f50e65bce2ab3c9bb84edb212532118b2cd1e,algerian president in france for medical tests,algerian president in france for medical tests,441,2,0.51034826
08c35c4fac722e121e36492c293c26a9751233e65fed2adc2bcd0a584b1f7683,A woman is water skiing.,A woman is water skiing.,154,6,0.63220996
0be5f8de1a2df4a38464284ef8dc9b782d78d045ad9312bd3e46c7cb41d0e4c5,dining room with wooden dining table set with playmates .,dining room with wooden dining table set with playmates .,305,0,0.55730665
0dabfc6a5de663ac63cf8964d79e66ce92918b9db0a2ab7f7cfdda14963c998c,"several different ways of computing these values , also known as ( term ) weights , have been developed .","several different ways of computing these values , also known as ( term ) weights , have been developed .",13,2,0.57124746
0f080b59b66c20dfccac7391eab1122625e660475a72095312b67bfa95fb7185,There is no girl brushing her hair,There is no girl brushing her hair,77,6,0.48786506
1060b405ece1a2b520dc3c94e9c8c480a2dc93734a0f058c244831e96c4df9df,"you just have to base your answer on what you do know , which is what you want .","you just have to base your answer on what you do know , which is what you want .",100,1,0.57320726
