evaluation_split,repeat_count,coverage,GE_q95,GE_max,coverage_certified,q95_certified,strict_max_certified
validation,0,0.375,0.2843819215893745,0.30191993713378906,False,False,False
validation,1,0.39166666666666666,0.27879536151885986,0.2950923442840576,False,False,False
validation,2,0.6416666666666667,0.2037622213363647,0.27810895442962646,False,False,False
validation,3,0.7583333333333333,0.15134009122848507,0.21422123908996582,False,False,False
validation,4,0.8916666666666667,0.13733226358890532,0.15957295894622803,False,False,False
validation,5,0.9416666666666667,0.1148930698633194,0.1446598768234253,False,False,False
validation,6,0.9666666666666667,0.10007298290729523,0.13305139541625977,True,True,False
validation,7,0.9833333333333333,0.09069588482379912,0.12400287389755249,True,True,False
validation,8,0.9916666666666667,0.0884590983390808,0.11416780948638916,True,True,False
validation,9,1.0,0.08290120363235473,0.10545104742050171,True,True,True
validation,10,1.0,0.0817691385746002,0.10004532337188721,True,True,True
validation,11,1.0,0.07837544083595276,0.09591877460479736,True,True,True
validation,12,1.0,0.0770814836025238,0.09266537427902222,True,True,True
validation,13,1.0,0.07688015997409821,0.09000921249389648,True,True,True
validation,14,1.0,0.07597384452819825,0.08568346500396729,True,True,True
validation,15,1.0,0.07596265971660614,0.08241486549377441,True,True,True
validation,16,1.0,0.07591745853424073,0.07879668474197388,True,True,True
validation,17,1.0,0.07530356347560882,0.07830232381820679,True,True,True
validation,18,1.0,0.07534375786781311,0.07833939790725708,True,True,True
validation,19,1.0,0.07544971406459808,0.07870274782180786,True,True,True
validation,20,1.0,0.07441686987876892,0.07830309867858887,True,True,True
validation,21,1.0,0.0758349359035492,0.07871901988983154,True,True,True
validation,22,1.0,0.07571962773799897,0.07881659269332886,True,True,True
validation,23,1.0,0.0755703330039978,0.07876706123352051,True,True,True
validation,24,1.0,0.07587441205978393,0.07866686582565308,True,True,True
validation,25,1.0,0.07593581974506378,0.07864373922348022,True,True,True
validation,26,1.0,0.07592142224311829,0.07912802696228027,True,True,True
validation,27,1.0,0.07589025199413299,0.0787736177444458,True,True,True
validation,28,1.0,0.07590290009975434,0.0788341760635376,True,True,True
validation,29,1.0,0.0758596658706665,0.07908183336257935,True,True,True
validation,30,1.0,0.07587630152702332,0.07932007312774658,True,True,True
