actual_token_length,candidate_dir,candidate_key,candidate_rank,cavg,cmax,coverage_lcb,lambda_star,length,level_0_realizable,level_1_attractor,level_1_gates,level_2_gates,level_2_low_occupancy,occupancy_auc,outlier_rate_ucb,task,token_ids,trigger,worst_position_coverage_lcb
1,validation/prefix/length_01/candidate_00,8363,0,0.15156288335834098,0.15156288335834098,0.963400132697301,1.0,1,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': False, 'occupancy_auc': False}",False,0.6104503991965148,0.03659986730269902,prefix,8363,diabetes,0.963400132697301
2,validation/prefix/length_02/candidate_01,"10287,30629",1,0.1267072722678467,0.12915156425934607,0.9512500172757237,1.25,2,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': False, 'occupancy_auc': False}",False,0.41456929153465577,0.04874998272427633,prefix,"10287,30629",terrorist Slovakia,0.9512500172757237
3,validation/prefix/length_03/candidate_00,"10417,15048,31215",0,0.11184641084088,0.11431572220333379,0.9512500172757237,1.75,3,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': False}",False,0.1620906014642817,0.04874998272427633,prefix,"10417,15048,31215",$100 Bă Timişoara,0.9512500172757237
4,validation/prefix/length_04/candidate_01,"30119,3099,9547,3146",1,0.11144287489282982,0.11144287489282982,0.9503245421397193,1.75,4,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': False}",False,0.1234876188899669,0.04967545786028076,prefix,"30119,3099,9547,3146",ashamed dabei femei iPhone,0.9503245421397193
5,validation/prefix/length_05/candidate_00,"18142,28950,12772,16675,26874",0,0.09429560046978866,0.09429560046978866,0.9383833494469809,2.0,5,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.01674178491666325,0.06161665055301918,prefix,"18142,28950,12772,16675,26874",Songs glitch Results Wish tapping,0.9383833494469809
6,validation/prefix/length_06/candidate_00,"28893,12153,19986,16735,18963,2066",0,0.09186416069959215,0.09186416069959216,0.963400132697301,2.0,6,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.007590328759822127,0.03659986730269902,prefix,"28893,12153,19986,16735,18963,2066",Brasov incorrect rude delays equality campaign,0.963400132697301
7,validation/prefix/length_07/candidate_00,"7495,17239,19010,25144,24190,30666,29786",0,0.10440958982551665,0.10440958982551665,0.9671943137202075,1.75,7,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': False}",False,0.06845841922422861,0.03280568627979253,prefix,"7495,17239,19010,25144,24190,30666,29786",Eli Hydro twitter HOW smoker Karlsruhe pronounce,0.9671943137202075
8,validation/prefix/length_08/candidate_00,"4258,15920,10287,8361,25924,5168,20017,6233",0,0.08873440610485318,0.08873440610485318,0.9457130841559822,2.25,8,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.006748034437464173,0.054286915844017826,prefix,"4258,15920,10287,8361,25924,5168,20017,6233",resume PHP terrorist instantly centerpiece hang sandwiches Restaurant,0.9457130841559822
9,validation/prefix/length_09/candidate_00,"17300,10297,16124,22908,22171,21916,21526,2889,19602",0,0.09393007305456626,0.09393007305456626,0.9643457310668194,2.25,9,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.009013926826494446,0.035654268933180584,prefix,"17300,10297,16124,22908,22171,21916,21526,2889,19602",ausschließlich Ron delayed Entre explicat treaba carrière damit CNN,0.9643457310668194
10,validation/prefix/length_10/candidate_00,"3382,593,16723,15589,23962,3095,21581,4077,13693,20981",0,0.08452190849998222,0.08452190849998222,0.9558951965197733,2.25,10,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.003491652460414408,0.04410480348022669,prefix,"3382,593,16723,15589,23962,3095,21581,4077,13693,20981",guess level refugees Coin adolescents civil Blake (1 frustration specs,0.9558951965197733
11,validation/prefix/length_11/candidate_00,"10318,11958,6479,18008,8147,5626,6783,6763,16565,14221,17523",0,0.08730308393229332,0.08730308393229332,0.9748968034901895,2.25,11,True,True,"{'assignment_ari': True, 'cluster_mass': True, 'cluster_persistence': True, 'compactness': True, 'coverage': True, 'outliers': True, 'position_coverage': True, 'realizable': True}","{'lambda_star': True, 'occupancy_auc': True}",True,0.003871113764554785,0.025103196509810546,prefix,"10318,11958,6479,18008,8147,5626,6783,6763,16565,14221,17523",Java denied Rück editors climb smartphone Prior Print commands SUV grief,0.9748968034901895
