multiplier,successes,total,estimate,lower,upper,alpha
0.1,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.2,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.3,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.4,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.5,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.6,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.7,0,150000,0.0,0.0,1.997134906031303e-05,0.050000000000000044
0.8,8,150000,5.333333333333333e-05,2.6539085664845705e-05,9.622893406360496e-05,0.050000000000000044
0.9,358,150000,0.0023866666666666667,0.0021832598305597467,0.002604539739472496,0.050000000000000044
1.0,22902,150000,0.15268,0.15115407952095902,0.1542158441685143,0.050000000000000044
1.05,64903,150000,0.43268666666666666,0.43058014174052445,0.4347951134308038,0.050000000000000044
1.1,111757,150000,0.7450466666666666,0.7431888552319905,0.7468974799511461,0.050000000000000044
1.25,149898,150000,0.99932,0.9991984331800786,0.9994268018263982,0.050000000000000044
1.5,150000,150000,1.0,0.9999800286509397,1.0,0.050000000000000044
2.0,150000,150000,1.0,0.9999800286509397,1.0,0.050000000000000044
