source_position,successes,total,estimate,lower,upper,alpha
beir:hotpotqa::prefix,4163,4167,0.9990400767938565,0.9969196274657959,0.9998468551993216,0.004166666666666667
beir:hotpotqa::random,3999,4166,0.9599135861737879,0.9512089521296303,0.9674983213974682,0.004166666666666667
beir:hotpotqa::suffix,4151,4167,0.9961603071754259,0.9928478769910868,0.9982180527696626,0.004166666666666667
beir:msmarco::prefix,4120,4167,0.9887209023278137,0.9836606179277607,0.9925722613424713,0.004166666666666667
beir:msmarco::random,3534,4166,0.8482957273163706,0.8330960275368999,0.8626548657793718,0.004166666666666667
beir:msmarco::suffix,4053,4167,0.97264218862491,0.9652677379970513,0.9788615454919307,0.004166666666666667
beir:nq::prefix,4138,4167,0.9930405567554595,0.9888810145015825,0.9959697349928212,0.004166666666666667
beir:nq::random,3651,4166,0.8763802208353336,0.862354063462438,0.8894971435721778,0.004166666666666667
beir:nq::suffix,3983,4167,0.9558435325173986,0.946766996502187,0.9638113206523016,0.004166666666666667
hf:fancyzhx/dbpedia_14::prefix,4166,4167,0.9997600191984641,0.9981688083153819,0.9999989979915243,0.004166666666666667
hf:fancyzhx/dbpedia_14::random,4030,4166,0.9673547767642823,0.9593924861551275,0.9741767696716099,0.004166666666666667
hf:fancyzhx/dbpedia_14::suffix,4160,4167,0.9983201343892488,0.9958235871036465,0.9995273686815209,0.004166666666666667
