population,cumulative_count,cumulative_fraction,lower_multiplier,shell_count,shell_fraction,upper_multiplier
triggered,0,0.0,0.0,0,0.0,0.1
triggered,0,0.0,0.1,0,0.0,0.2
triggered,0,0.0,0.2,0,0.0,0.3
triggered,0,0.0,0.3,0,0.0,0.4
triggered,0,0.0,0.4,0,0.0,0.5
triggered,0,0.0,0.5,0,0.0,0.6
triggered,0,0.0,0.6,0,0.0,0.7
triggered,280,0.015555555555555555,0.7,280,0.015555555555555555,0.8
triggered,8282,0.46011111111111114,0.8,8002,0.44455555555555554,0.9
triggered,16201,0.9000555555555556,0.9,7919,0.43994444444444447,1.0
triggered,17732,0.9851111111111112,1.0,1531,0.08505555555555555,1.1
triggered,17978,0.9987777777777778,1.1,246,0.013666666666666667,1.2
triggered,18000,1.0,1.2,22,0.0012222222222222222,1.3
triggered,18000,1.0,1.3,0,0.0,1.4
triggered,18000,1.0,1.4,0,0.0,1.5
triggered,18000,1.0,1.5,0,0.0,1.6
triggered,18000,1.0,1.6,0,0.0,1.7
triggered,18000,1.0,1.7,0,0.0,1.8
triggered,18000,1.0,1.8,0,0.0,1.9
triggered,18000,1.0,1.9,0,0.0,2.0
paired_clean,0,0.0,0.0,0,0.0,0.1
paired_clean,0,0.0,0.1,0,0.0,0.2
paired_clean,0,0.0,0.2,0,0.0,0.3
paired_clean,0,0.0,0.3,0,0.0,0.4
paired_clean,0,0.0,0.4,0,0.0,0.5
paired_clean,0,0.0,0.5,0,0.0,0.6
paired_clean,0,0.0,0.6,0,0.0,0.7
paired_clean,0,0.0,0.7,0,0.0,0.8
paired_clean,0,0.0,0.8,0,0.0,0.9
paired_clean,99,0.0055,0.9,99,0.0055,1.0
paired_clean,4287,0.23816666666666667,1.0,4188,0.23266666666666666,1.1
paired_clean,14322,0.7956666666666666,1.1,10035,0.5575,1.2
paired_clean,17808,0.9893333333333333,1.2,3486,0.19366666666666665,1.3
paired_clean,17997,0.9998333333333334,1.3,189,0.0105,1.4
paired_clean,18000,1.0,1.4,3,0.00016666666666666666,1.5
paired_clean,18000,1.0,1.5,0,0.0,1.6
paired_clean,18000,1.0,1.6,0,0.0,1.7
paired_clean,18000,1.0,1.7,0,0.0,1.8
paired_clean,18000,1.0,1.8,0,0.0,1.9
paired_clean,18000,1.0,1.9,0,0.0,2.0
independent_benign,0,0.0,0.0,0,0.0,0.1
independent_benign,0,0.0,0.1,0,0.0,0.2
independent_benign,0,0.0,0.2,0,0.0,0.3
independent_benign,0,0.0,0.3,0,0.0,0.4
independent_benign,0,0.0,0.4,0,0.0,0.5
independent_benign,0,0.0,0.5,0,0.0,0.6
independent_benign,0,0.0,0.6,0,0.0,0.7
independent_benign,0,0.0,0.7,0,0.0,0.8
independent_benign,1,2e-05,0.8,1,2e-05,0.9
independent_benign,323,0.00646,0.9,322,0.00644,1.0
independent_benign,11635,0.2327,1.0,11312,0.22624,1.1
independent_benign,39973,0.79946,1.1,28338,0.56676,1.2
independent_benign,49465,0.9893,1.2,9492,0.18984,1.3
independent_benign,49986,0.99972,1.3,521,0.01042,1.4
independent_benign,49999,0.99998,1.4,13,0.00026,1.5
independent_benign,50000,1.0,1.5,1,2e-05,1.6
independent_benign,50000,1.0,1.6,0,0.0,1.7
independent_benign,50000,1.0,1.7,0,0.0,1.8
independent_benign,50000,1.0,1.8,0,0.0,1.9
independent_benign,50000,1.0,1.9,0,0.0,2.0
